rho_0,alpha,cv_pw_distance
57.5,3.25,41.63798205278948
57.5,3.0,42.854653611619185
57.5,1.25,43.18909545339766
57.5,1.75,43.19062702572764
57.5,1.0,43.190714071938835
57.5,2.0,43.19112067592401
57.5,2.5,43.19118854178632
57.5,1.5,43.19226971415755
57.5,2.25,43.192321963050546
57.5,2.75,43.24206059696871
57.5,5.75,44.72486073253009
57.5,6.0,48.691450989943334
60.0,4.25,34.04761923565441
60.0,4.0,34.05792224814631
60.0,4.5,34.921700676100656
60.0,3.75,35.221203849185834
60.0,4.75,36.64741991532014
60.0,3.5,37.48417908526138
60.0,5.0,39.11901511679648
60.0,3.25,40.06379235686152
60.0,3.0,42.00948947828628
60.0,5.25,42.31076257887693
60.0,2.75,43.07555629591474
60.0,1.25,43.18909545339766
60.0,1.75,43.19062702572764
60.0,1.0,43.190714071938835
60.0,2.0,43.19112067592401
60.0,1.5,43.19226971415755
60.0,2.25,43.192321963050546
60.0,2.5,43.20184162399192
60.0,5.5,46.15584808238064
60.0,5.75,50.59157718676271
60.0,6.0,55.4928788397147
62.5,3.75,34.05839013698665
62.5,4.0,34.07687137211688
62.5,4.25,35.10669581539244
62.5,3.5,35.33832812587814
62.5,4.5,37.081658696673564
62.5,3.25,37.83623719450359
62.5,4.75,39.913945294374756
62.5,3.0,40.528374999580464
62.5,2.75,42.37527188013448
62.5,1.25,43.18909545339766
62.5,1.75,43.19062702572764
62.5,1.0,43.190714071938835
62.5,2.0,43.19112067592401
62.5,1.5,43.19226971415755
62.5,2.25,43.192321963050546
62.5,2.5,43.2159497536646
62.5,5.0,43.518493356482736
62.5,5.25,47.862921327342065
62.5,5.5,52.823215920669874
62.5,5.75,58.34236769963097
62.5,6.0,64.14335412807273
65.0,3.5,34.05802584122018
65.0,3.75,34.11555456734936
65.0,4.0,35.33181803183669
65.0,3.25,35.48054862953327
65.0,4.25,37.616654931960696
65.0,3.0,38.23514419814394
65.0,4.5,40.869519699353894
65.0,2.75,41.010162800625835
65.0,2.5,42.72699846795242
65.0,1.25,43.18909545339766
65.0,1.75,43.19062702572764
