rho_0,alpha,mean_pw_distance
55.0,4.0,33.665822379569676
55.0,3.25,33.149486153636914
55.0,4.25,32.397680706669846
55.0,3.0,31.34588459724403
55.0,4.5,30.66944968330094
55.0,2.75,28.922440928161652
55.0,4.75,28.70338704114003
55.0,5.0,26.705283742008305
55.0,2.5,26.29292621505571
55.0,5.25,24.732122344860716
55.0,2.25,23.663165262738556
55.0,5.5,22.82238393371129
55.0,2.0,21.034396145764553
55.0,5.75,21.006542540217144
55.0,6.0,19.29409347237916
55.0,1.75,18.406191163245605
55.0,6.25,17.67982128000185
55.0,6.5,16.16055180949799
55.0,1.5,15.77524196254795
55.0,6.75,14.740653266140013
55.0,7.0,13.40984937225385
55.0,1.25,13.146946728329011
55.0,1.0,10.517722897596872
57.5,3.5,32.415022517743495
57.5,3.25,32.09135807667435
57.5,3.75,31.897321212892365
57.5,3.0,30.882338756542158
57.5,4.0,30.68199652348945
57.5,4.25,28.96507196705829
57.5,2.75,28.84944628870808
57.5,4.5,26.99906590001083
57.5,2.5,26.29292621505571
57.5,4.75,25.000343022080237
57.5,2.25,23.663165262738552
57.5,5.0,23.03254290475695
57.5,5.25,21.14285192282982
57.5,2.0,21.034396145764553
57.5,5.5,19.3555648764922
57.5,1.75,18.406191163245605
57.5,5.75,17.673314561026288
57.5,6.0,16.098122978522202
57.5,1.5,15.77524196254795
57.5,6.25,14.619982652591421
57.5,6.5,13.243725695432754
57.5,1.25,13.146946728329011
57.5,6.75,11.968177221749922
57.5,7.0,10.803263846084487
57.5,1.0,10.517722897596872
60.0,3.25,30.51579376949326
60.0,3.5,30.11498312158377
60.0,3.0,30.002786428193467
60.0,3.75,28.965389727257538
60.0,2.75,28.5401453798024
60.0,4.0,27.261263816906908
60.0,2.5,26.285655214288536
60.0,4.25,25.29331068754961
60.0,2.25,23.663165262738552
60.0,4.5,23.29720165780822
60.0,4.75,21.336659235088145
60.0,2.0,21.034396145764553
60.0,5.0,19.46867957661505
60.0,1.75,18.406191163245605
60.0,5.25,17.71199240797187
60.0,5.5,16.06631620262135
60.0,1.5,15.77524196254795
60.0,5.75,14.52947405677699
60.0,1.25,13.146946728329011
60.0,6.0,13.103138974539673
60.0,6.25,11.77801916623463
60.0,6.5,10.562918085333044
60.0,1.0,10.517722897596872
60.0,6.75,9.464004383417052
60.0,7.0,8.432258856459267
62.5,3.0,28.573755111156753
62.5,3.25,28.327620709483746
62.5,2.75,27.846091309432275
62.5,3.5,27.245021782702484
62.5,2.5,26.12156931646048
62.5,3.75,25.55788922291336
62.5,2.25,23.663165262738552
62.5,4.0,23.588088142841432
62.5,4.25,21.593029532722863
62.5,2.0,21.034396145764553
62.5,4.5,19.646068678397707
62.5,1.75,18.406191163245605
62.5,4.75,17.799370535047007
62.5,5.0,16.07864941573257
62.5,1.5,15.77524196254795
62.5,5.25,14.474790866792935
62.5,1.25,13.146946728329011
62.5,5.5,12.983990540756798
62.5,5.75,11.608049868968033
62.5,1.0,10.517722897596872
62.5,6.0,10.346092867519092
62.5,6.25,9.210607990382249
62.5,6.5,8.156866253465186
62.5,6.75,7.198952824863049
62.5,7.0,6.310899796843079
65.0,2.75,26.60334031052783
65.0,3.0,26.528106253353315
65.0,2.5,25.618843337616877
65.0,3.25,25.521986835688136
65.0,3.5,23.853399961717685
65.0,2.25,23.618666487891744
65.0,3.75,21.883212199669483
65.0,2.0,21.034396145764553
65.0,4.0,19.891320240552773
65.0,1.75,18.406191163245605
65.0,4.25,17.958485205417297
65.0,4.5,16.144780001329238
65.0,1.5,15.77524196254795
65.0,4.75,14.458457710119266
65.0,1.25,13.146946728329011
65.0,5.0,12.900760280237783
65.0,5.25,11.465401351941695
65.0,1.0,10.517722897596872
65.0,5.5,10.148534641060078
65.0,5.75,8.962150724352643
65.0,6.0,7.887041560878631
65.0,6.25,6.903800939946572
65.0,6.5,6.002743322781469
65.0,6.75,5.193467856565829
65.0,7.0,4.470594691500401
67.5,2.75,24.7105090349366
67.5,2.5,24.581963975506874
67.5,3.0,23.796846417757592
67.5,2.25,23.306781369827046
67.5,3.25,22.150113730305698
67.5,2.0,21.033964206171454
67.5,3.5,20.17628949417374
67.5,1.75,18.406191163245605
67.5,3.75,18.18957798004978
67.5,4.0,16.276866889650286
67.5,1.5,15.77524196254795
67.5,4.25,14.497465319830187
67.5,1.25,13.146946728329011
67.5,4.5,12.856506277715727
67.5,4.75,11.347648766648321
67.5,1.0,10.517722897596872
67.5,5.0,9.973213411705972
67.5,5.25,8.727997113538365
67.5,5.5,7.623047646180529
67.5,5.75,6.611006345389586
67.5,6.0,5.698882373335427
67.5,6.25,4.878117382518337
67.5,6.5,4.151275150485234
67.5,6.75,3.501985368702099
67.5,7.0,2.931082379678968
70.0,2.5,22.860085810060976
70.0,2.25,22.501679373955877
70.0,2.75,22.06640609302737
70.0,2.0,20.897342936382678
70.0,3.0,20.445894770392737
70.0,3.25,18.469712328464038
70.0,1.75,18.406191163245605
70.0,3.5,16.487416669597106
70.0,1.5,15.77524196254795
70.0,3.75,14.601254267136303
70.0,1.25,13.146946728329011
70.0,4.0,12.86258977008136
70.0,4.25,11.273759490469878
70.0,1.0,10.517722897596872
70.0,4.5,9.8278522116812
70.0,4.75,8.520329400766887
70.0,5.0,7.3684570853104745
70.0,5.25,6.324489126748055
70.0,5.5,5.397478275570376
70.0,5.75,4.5624358330561385
70.0,6.0,3.8319243793455877
70.0,6.25,3.186679459484661
70.0,6.5,2.624025715969845
70.0,6.75,2.124844439529926
