rho_0,alpha,device,mean_error,error_list
57.5,4.75,1002,3.29,"[2.0, 2.3, 6.6, 2.9, 3.05, 2.3, 4.56, 3.05, 4.6, 2.0, 2.3, 4.6, 2.15, 4.37, 6.1, 6.44, 5.05, 4.5, 3.25, 3.25, 2.3, 2.3, 2.3, 3.25, 3.05, 2.0, 2.3, 2.3, 0.0, 2.3, 3.05, 2.0, 3.05, 4.0, 2.0, 2.97, 4.83, 0.0, 2.2, 0.0, 0.0, 2.97, 0.0, 2.3, 4.6, 2.0, 2.3, 4.6, 2.0, 4.0, 3.05, 3.05, 2.0, 2.3, 4.61, 2.3, 5.02, 3.05, 3.05, 7.18, 2.3, 3.05, 4.6, 2.3, 3.05, 5.02, 2.0, 3.05, 3.05, 0.0, 3.05, 5.02, 4.56, 2.3, 5.02, 4.56, 3.05, 5.02, 4.6, 2.1, 2.3, 2.0, 3.05, 2.0, 5.02, 4.61, 4.0, 7.56, 6.43, 6.0, 2.22, 3.33, 4.3, 4.21, 4.89, 6.23, 6.71, 6.51, 6.96, 7.96, 7.71, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 4.6, 6.0, 6.43, 2.3, 0.0, 2.3, 3.38, 1.7, 1.99, 5.1, 3.16, 0.0, 0.0, 2.0, 3.11, 4.39, 4.39, 2.0, 4.0, 2.0, 1.58, 3.23, 2.22, 3.6, 1.36, 0.0, 3.83, 3.06, 2.12, 2.12, 2.7, 0.0, 2.48, 2.28]"
57.5,4.75,104D,3.74,"[2.0, 2.3, 6.6, 2.0, 4.79, 4.6, 2.9, 4.79, 6.93, 2.15, 5.13, 7.17, 2.15, 4.37, 6.65, 6.44, 5.05, 4.5, 5.14, 3.25, 2.3, 4.6, 2.3, 3.25, 3.05, 2.0, 3.05, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 7.72, 0.0, 2.2, 4.83, 2.97, 2.2, 0.0, 2.3, 2.3, 8.32, 2.0, 4.0, 4.61, 3.05, 3.05, 5.02, 2.3, 2.3, 4.6, 4.0, 3.05, 5.02, 3.05, 2.3, 5.02, 2.3, 3.05, 4.6, 2.0, 5.02, 5.02, 2.62, 3.05, 3.05, 0.0, 4.62, 7.57, 3.05, 4.31, 4.6, 4.56, 3.05, 5.02, 3.11, 0.0, 2.1, 4.1, 4.7, 2.0, 6.1, 4.0, 4.0, 7.56, 6.43, 6.0, 4.17, 3.33, 5.1, 4.92, 4.21, 4.89, 6.23, 6.08, 6.51, 4.83, 9.33, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 8.6, 5.02, 8.0, 8.32, 1.7, 1.99, 0.0, 0.0, 2.0, 3.11, 4.39, 4.39, 2.0, 4.0, 2.0, 1.58, 2.22, 2.22, 3.83, 1.36, 3.13, 3.83, 3.06, 2.12, 2.12, 2.7, 0.0, 2.48, 2.28]"
57.5,4.75,10CE,3.57,"[2.0, 2.3, 6.6, 2.0, 4.79, 6.93, 2.9, 4.79, 6.1, 2.9, 2.3, 7.17, 2.33, 4.37, 6.65, 6.44, 5.05, 4.5, 5.14, 2.3, 2.3, 2.3, 0.0, 3.25, 3.05, 2.0, 2.3, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.0, 2.97, 2.97, 2.97, 2.0, 0.0, 2.2, 5.95, 0.0, 0.0, 2.97, 3.05, 2.3, 4.6, 6.43, 2.3, 5.02, 6.1, 2.0, 4.61, 2.0, 2.3, 4.6, 4.61, 2.3, 5.02, 3.05, 2.3, 7.18, 2.3, 3.05, 4.6, 2.3, 3.05, 5.02, 2.0, 3.05, 3.05, 0.0, 3.05, 6.82, 2.02, 2.3, 2.3, 4.56, 3.05, 5.02, 4.6, 0.0, 3.11, 4.1, 3.05, 2.0, 6.1, 4.61, 4.0, 7.56, 6.43, 6.0, 4.17, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 4.65, 6.51, 6.96, 6.08, 7.71, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 8.6, 2.3, 0.0, 6.6, 4.79, 3.38, 1.7, 1.7, 6.74, 5.88, 2.08, 1.61, 0.0, 2.0, 3.11, 4.39, 4.39, 2.0, 4.0, 2.0, 1.58, 2.22, 4.32, 3.83, 2.06, 3.13, 3.6, 5.07, 2.12, 0.0, 2.7, 0.0, 2.48, 2.28]"
57.5,4.75,1210,3.53,"[2.0, 2.3, 4.6, 2.9, 4.79, 4.6, 4.56, 4.79, 5.02, 2.9, 5.13, 7.17, 2.15, 4.37, 6.65, 5.05, 5.05, 4.5, 5.14, 2.3, 2.3, 6.99, 2.3, 2.3, 3.05, 2.0, 2.3, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.83, 2.97, 2.97, 4.4, 4.4, 2.97, 0.0, 2.2, 2.0, 2.97, 0.0, 2.97, 2.3, 2.3, 4.6, 3.05, 2.3, 5.02, 4.0, 2.0, 3.05, 2.3, 2.0, 4.6, 3.05, 2.3, 4.6, 2.3, 2.3, 4.6, 2.3, 3.05, 4.6, 3.05, 3.05, 5.02, 3.05, 2.0, 3.05, 0.0, 0.0, 5.02, 3.05, 4.31, 4.6, 4.56, 3.05, 5.02, 4.6, 2.3, 2.3, 5.02, 3.05, 2.0, 6.1, 4.61, 4.0, 7.56, 6.43, 6.0, 2.22, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 7.91, 6.51, 6.96, 7.96, 9.33, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 2.3, 0.0, 2.3, 2.2, 0.0, 5.88, 1.89, 2.41, 2.0, 4.79, 4.39, 4.39, 2.0, 2.0, 2.0, 1.58, 3.23, 2.22, 4.0, 1.36, 2.22, 4.92, 3.06, 2.12, 2.12, 2.7, 0.0, 2.48, 2.28]"
57.5,4.75,1211,3.59,"[2.0, 2.3, 6.6, 2.0, 4.3, 6.6, 2.9, 5.94, 8.16, 2.15, 5.13, 7.17, 2.33, 4.37, 6.65, 6.44, 5.05, 4.5, 3.25, 3.25, 2.3, 2.3, 0.0, 2.3, 3.05, 2.0, 3.05, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 2.0, 2.97, 0.0, 2.2, 0.0, 2.97, 4.56, 2.3, 4.6, 0.0, 2.3, 7.18, 4.61, 4.0, 3.05, 2.3, 0.0, 2.3, 4.61, 2.3, 5.02, 2.0, 2.3, 5.02, 2.3, 3.05, 5.02, 3.05, 3.05, 5.02, 4.56, 3.05, 9.23, 0.0, 2.3, 6.82, 3.05, 4.31, 4.6, 4.56, 4.88, 5.02, 2.1, 2.3, 2.3, 3.05, 2.0, 4.61, 4.0, 8.1, 6.43, 6.0, 2.58, 3.33, 5.1, 4.92, 4.21, 4.89, 4.74, 7.91, 6.51, 6.96, 6.08, 9.33, 3.05, 2.0, 4.6, 4.61, 4.0, 4.61, 6.43, 6.0, 2.3, 5.02, 8.0, 0.0, 0.0, 6.74, 2.08, 1.2, 1.61, 2.41, 2.0, 3.11, 4.39, 4.0, 4.0, 2.0, 2.0, 1.58, 3.23, 2.22, 3.83, 1.36, 2.22, 3.83, 3.06, 2.12, 2.7, 2.7, 0.0, 2.0, 2.28]"
57.5,4.75,1212,3.5,"[6.6, 2.0, 4.79, 5.02, 2.9, 4.79, 5.02, 2.9, 4.79, 7.17, 2.15, 4.37, 4.6, 3.11, 4.5, 4.5, 4.88, 2.3, 0.0, 2.3, 0.0, 2.3, 3.05, 2.0, 3.05, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.83, 4.57, 2.97, 2.97, 6.9, 0.0, 2.2, 2.2, 4.83, 2.0, 2.0, 2.97, 0.0, 2.3, 4.6, 2.0, 3.05, 5.02, 3.05, 5.02, 3.05, 3.05, 2.0, 4.6, 4.61, 2.3, 4.6, 3.05, 3.05, 4.6, 2.3, 3.05, 4.6, 2.0, 3.05, 5.02, 0.0, 3.05, 3.05, 0.0, 2.3, 2.3, 4.56, 3.05, 2.3, 4.61, 2.0, 3.05, 4.6, 3.11, 3.11, 4.7, 4.1, 3.05, 6.1, 4.0, 4.0, 7.56, 6.43, 6.0, 2.58, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 7.91, 2.77, 6.96, 7.96, 9.33, 3.05, 2.0, 4.6, 4.61, 4.0, 4.61, 3.05, 6.0, 6.43, 3.05, 8.0, 2.3, 2.08, 0.0, 6.74, 3.49, 0.0, 2.0, 4.88, 3.11, 2.69, 4.39, 4.0, 2.0, 2.0, 1.58, 1.8, 1.8, 3.6, 1.36, 2.22, 6.71, 2.12, 2.12, 2.7, 0.0, 2.48, 2.28]"
57.5,4.75,121D,3.69,"[2.0, 2.3, 5.02, 2.0, 4.79, 4.6, 2.9, 5.94, 5.02, 2.15, 4.79, 4.6, 2.15, 4.37, 5.02, 6.44, 5.05, 4.5, 5.14, 3.25, 2.3, 4.6, 2.3, 2.3, 3.05, 2.0, 3.05, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.0, 2.97, 2.0, 7.72, 2.2, 2.2, 2.2, 4.83, 2.2, 2.0, 4.57, 4.56, 6.43, 4.6, 2.0, 2.3, 4.61, 3.05, 2.0, 4.61, 2.3, 2.0, 2.3, 4.61, 2.3, 6.1, 2.3, 3.05, 5.02, 2.3, 3.05, 4.6, 3.05, 3.05, 5.02, 2.62, 2.0, 3.05, 0.0, 0.0, 2.3, 4.56, 2.3, 3.05, 3.05, 2.0, 3.05, 4.6, 2.3, 3.11, 5.02, 3.05, 3.05, 6.1, 4.61, 4.0, 8.1, 6.43, 6.0, 2.58, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 6.71, 6.51, 6.96, 7.96, 9.33, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 2.3, 8.0, 2.3, 4.79, 3.38, 2.2, 1.7, 5.38, 5.88, 3.29, 3.16, 0.0, 2.0, 4.79, 3.11, 5.73, 6.26, 8.0, 4.0, 2.0, 3.18, 2.22, 4.32, 3.83, 2.06, 3.13, 3.6, 3.06, 2.12, 0.0, 2.7, 0.0, 2.48, 2.28]"
57.5,4.75,1F61,3.43,"[2.0, 2.3, 5.02, 2.0, 2.3, 4.6, 2.9, 3.05, 7.93, 0.0, 5.13, 5.02, 2.0, 4.37, 4.6, 2.2, 5.05, 2.2, 3.25, 2.3, 0.0, 4.6, 2.3, 3.25, 3.05, 2.0, 2.3, 2.3, 0.0, 2.3, 4.6, 2.0, 3.05, 2.97, 2.0, 2.97, 0.0, 2.2, 4.83, 2.97, 0.0, 2.97, 0.0, 2.3, 4.6, 2.0, 2.3, 6.1, 3.05, 3.05, 5.02, 2.3, 2.3, 4.6, 3.05, 3.05, 4.6, 0.0, 2.3, 4.6, 2.3, 3.05, 5.02, 2.0, 4.61, 5.02, 2.0, 3.05, 3.05, 0.0, 2.3, 6.82, 2.02, 4.31, 4.6, 4.56, 3.05, 5.02, 4.6, 0.0, 2.3, 4.1, 4.1, 2.0, 2.3, 4.0, 4.61, 5.02, 4.61, 4.0, 2.58, 3.33, 4.3, 4.2, 4.21, 4.89, 4.74, 6.71, 6.51, 6.96, 6.08, 9.33, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 8.32, 8.0, 8.32, 2.48, 0.0, 0.0, 7.29, 3.49, 2.08, 3.16, 1.61, 2.41, 4.79, 2.0, 4.39, 4.39, 4.0, 4.0, 2.0, 1.58, 3.23, 4.98, 4.0, 1.36, 3.13, 3.83, 3.06, 2.12, 2.12, 2.7, 0.0, 2.48, 2.28]"
57.5,4.75,2005,3.49,"[2.0, 2.3, 6.6, 2.9, 2.3, 4.6, 2.9, 3.05, 5.02, 2.9, 4.92, 6.1, 2.15, 4.37, 6.65, 3.11, 4.5, 3.18, 0.0, 3.25, 2.3, 4.6, 0.0, 3.25, 3.05, 2.0, 2.3, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.83, 4.0, 2.97, 2.2, 2.97, 0.0, 2.2, 2.2, 2.97, 2.97, 2.3, 7.56, 6.43, 2.0, 4.0, 4.61, 6.1, 2.0, 5.02, 2.3, 2.3, 3.05, 2.0, 2.3, 4.6, 3.05, 3.05, 5.02, 2.3, 3.05, 4.6, 3.05, 3.05, 5.02, 2.0, 3.05, 3.05, 2.0, 3.05, 2.3, 2.02, 2.3, 2.3, 4.56, 3.05, 3.05, 6.43, 0.0, 2.3, 5.02, 3.05, 2.3, 4.61, 4.0, 6.1, 4.61, 4.0, 2.22, 3.33, 4.3, 4.2, 4.21, 4.89, 6.23, 6.71, 6.51, 6.96, 7.96, 7.85, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 8.32, 8.0, 6.6, 5.88, 0.0, 0.0, 1.7, 6.74, 5.82, 3.29, 2.08, 1.89, 0.0, 2.0, 3.11, 4.39, 4.39, 2.0, 2.0, 2.92, 1.58, 2.22, 3.26, 3.6, 1.36, 3.13, 4.92, 3.06, 2.12, 2.12, 2.7, 0.0, 1.9, 2.28]"
57.5,4.75,2055,3.63,"[2.76, 2.3, 4.6, 2.0, 2.3, 6.6, 2.9, 4.79, 8.16, 2.9, 5.13, 6.58, 2.33, 4.37, 6.65, 6.44, 3.18, 4.5, 5.14, 3.25, 2.3, 2.3, 2.3, 2.3, 3.05, 2.0, 2.3, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.83, 2.97, 2.97, 4.4, 2.97, 2.97, 2.2, 4.83, 2.0, 2.2, 2.97, 4.56, 2.3, 6.9, 2.0, 2.3, 4.61, 3.05, 3.05, 5.02, 2.3, 2.3, 4.6, 3.05, 2.3, 5.02, 3.05, 2.3, 4.6, 2.3, 3.05, 4.6, 3.05, 4.61, 5.02, 2.62, 3.05, 3.05, 0.0, 3.05, 2.3, 4.1, 3.05, 3.05, 4.56, 3.05, 5.02, 4.6, 3.11, 2.3, 5.02, 3.05, 3.05, 6.1, 4.61, 4.0, 7.56, 6.43, 6.0, 2.22, 3.33, 4.3, 4.08, 4.89, 6.23, 6.51, 6.96, 7.96, 4.79, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 3.05, 8.0, 3.05, 4.79, 3.3, 3.38, 7.29, 2.9, 0.0, 4.79, 3.11, 5.73, 4.0, 4.0, 4.0, 2.0, 1.58, 3.23, 2.22, 4.0, 1.36, 2.2, 1.8, 3.06, 2.12, 0.0, 2.7, 0.0, 0.0, 2.28]"
57.5,5.0,1002,3.58,"[2.0, 2.3, 6.6, 2.9, 3.05, 2.3, 4.56, 4.0, 5.02, 4.56, 5.13, 4.61, 2.15, 4.37, 8.99, 6.44, 5.05, 4.5, 5.14, 3.25, 2.3, 2.3, 2.3, 3.25, 3.05, 2.0, 3.05, 2.3, 0.0, 2.3, 3.05, 2.0, 3.05, 4.0, 2.0, 2.97, 4.83, 0.0, 2.2, 0.0, 0.0, 2.97, 8.32, 6.43, 4.61, 2.0, 2.3, 4.61, 4.61, 4.0, 5.02, 3.05, 2.0, 2.3, 4.61, 2.3, 4.6, 3.05, 2.3, 7.18, 2.3, 3.05, 4.6, 3.05, 3.05, 5.02, 2.0, 3.05, 3.05, 0.0, 3.05, 5.02, 2.0, 2.3, 5.02, 2.0, 3.05, 5.02, 4.6, 2.1, 2.3, 2.0, 3.05, 2.0, 5.02, 4.61, 4.0, 7.56, 6.43, 6.0, 2.22, 3.33, 4.3, 4.21, 4.89, 6.23, 6.71, 6.51, 6.96, 7.96, 7.85, 3.05, 2.0, 4.6, 4.61, 4.0, 4.61, 2.3, 6.0, 6.43, 2.3, 6.99, 6.6, 3.38, 1.7, 1.99, 5.1, 3.16, 1.61, 0.0, 2.0, 3.11, 4.39, 4.39, 4.0, 2.0, 2.0, 1.58, 3.23, 2.22, 4.0, 1.36, 2.22, 4.92, 3.06, 2.12, 2.7, 2.7, 0.0, 2.48, 2.28]"
57.5,5.0,104D,3.79,"[2.0, 2.3, 6.6, 2.0, 4.79, 6.6, 2.9, 4.79, 6.93, 2.15, 5.13, 7.17, 2.15, 4.37, 6.65, 6.44, 5.05, 4.5, 5.14, 3.25, 2.3, 4.6, 2.3, 3.25, 3.05, 2.0, 3.05, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 2.97, 2.97, 2.2, 4.83, 2.97, 2.2, 0.0, 0.0, 2.3, 8.32, 0.0, 6.0, 6.1, 3.05, 3.05, 5.02, 3.05, 2.3, 4.6, 4.61, 3.05, 5.02, 3.05, 2.3, 5.02, 2.3, 3.05, 5.02, 2.0, 5.02, 5.02, 2.0, 3.05, 6.1, 0.0, 2.3, 5.02, 2.0, 2.3, 4.6, 4.0, 3.05, 5.02, 3.11, 0.0, 2.1, 5.02, 4.7, 2.0, 6.1, 4.0, 4.0, 7.56, 8.42, 6.0, 4.17, 3.33, 5.1, 4.92, 4.21, 4.89, 6.23, 6.08, 6.51, 4.83, 9.33, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 8.6, 8.32, 8.0, 8.32, 1.7, 1.99, 1.89, 0.0, 2.0, 3.05, 4.39, 4.39, 4.0, 2.0, 2.0, 1.58, 3.23, 4.32, 3.83, 1.36, 3.13, 4.92, 3.06, 2.12, 2.12, 2.7, 0.0, 2.48, 2.28]"
57.5,5.0,10CE,3.76,"[2.0, 2.3, 6.6, 2.0, 4.79, 6.93, 2.9, 4.79, 6.1, 2.9, 3.05, 7.17, 2.33, 4.37, 6.65, 6.44, 5.05, 4.5, 5.14, 3.25, 2.3, 4.6, 0.0, 2.3, 3.05, 2.0, 2.3, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.0, 2.97, 2.97, 2.97, 2.0, 2.97, 2.2, 4.83, 0.0, 0.0, 2.97, 2.0, 6.0, 5.02, 6.43, 2.3, 4.61, 4.61, 2.0, 4.61, 2.0, 2.3, 4.6, 4.61, 2.3, 5.02, 3.05, 2.3, 7.18, 2.3, 3.05, 4.6, 2.3, 3.05, 5.02, 2.0, 3.05, 3.05, 0.0, 3.05, 5.02, 3.05, 2.3, 4.6, 4.0, 3.05, 5.02, 4.6, 0.0, 3.11, 4.7, 4.1, 2.0, 6.1, 4.61, 4.0, 7.56, 6.43, 6.0, 4.17, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 4.65, 6.51, 6.96, 7.96, 7.71, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 8.6, 2.3, 8.32, 6.6, 4.79, 3.38, 1.7, 1.7, 6.74, 5.88, 2.08, 1.61, 2.41, 4.0, 2.0, 4.39, 4.39, 4.0, 2.0, 0.0, 3.18, 3.23, 4.32, 6.76, 2.06, 3.13, 4.92, 5.07, 2.12, 0.0, 2.7, 0.0, 2.48, 2.28]"
57.5,5.0,1210,3.84,"[2.0, 2.3, 6.6, 2.9, 4.79, 6.93, 2.9, 4.79, 6.93, 2.9, 5.13, 7.17, 2.15, 4.37, 6.65, 6.44, 5.05, 4.5, 5.14, 3.25, 2.3, 4.6, 2.3, 2.3, 3.05, 2.0, 3.05, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.83, 4.0, 2.97, 2.97, 4.4, 2.0, 2.97, 2.2, 4.83, 0.0, 2.2, 2.97, 4.56, 2.3, 4.6, 8.32, 2.3, 4.61, 4.61, 2.0, 5.02, 3.05, 2.0, 4.6, 2.3, 2.3, 4.6, 3.05, 2.3, 4.6, 2.3, 3.05, 4.6, 3.05, 3.05, 5.02, 3.05, 3.05, 3.05, 0.0, 2.3, 5.02, 3.05, 3.05, 4.6, 4.56, 3.05, 5.02, 4.6, 2.1, 2.3, 5.02, 4.1, 2.0, 6.1, 4.61, 4.0, 7.56, 6.43, 6.0, 4.17, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 7.91, 6.51, 6.96, 7.96, 9.33, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 8.04, 6.99, 6.6, 2.2, 0.0, 5.88, 1.61, 2.41, 3.05, 4.79, 5.73, 4.39, 4.0, 2.0, 0.0, 1.58, 3.23, 2.22, 4.0, 1.36, 3.13, 4.92, 3.06, 2.12, 2.12, 2.7, 0.0, 2.48, 2.28]"
57.5,5.0,1211,3.7,"[2.0, 2.3, 6.6, 2.0, 4.3, 6.6, 2.9, 4.79, 8.16, 2.9, 5.13, 7.17, 2.15, 4.37, 6.65, 6.44, 5.05, 4.5, 5.14, 3.25, 2.3, 4.6, 0.0, 2.3, 3.05, 2.0, 3.05, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 2.0, 2.97, 0.0, 2.2, 0.0, 2.97, 4.56, 2.3, 4.6, 0.0, 2.3, 7.18, 3.05, 4.0, 3.05, 2.3, 2.3, 4.6, 4.61, 2.3, 5.02, 2.0, 2.3, 5.02, 2.3, 3.05, 5.02, 3.05, 3.05, 5.02, 2.0, 3.05, 3.05, 0.0, 2.3, 5.02, 3.05, 4.31, 4.6, 4.56, 3.05, 5.02, 4.6, 2.3, 2.3, 3.05, 2.0, 4.61, 4.0, 8.1, 6.43, 6.0, 2.58, 3.33, 5.1, 4.92, 4.21, 4.89, 6.23, 7.91, 6.51, 6.96, 7.96, 9.33, 3.05, 2.0, 4.6, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 8.32, 8.0, 6.6, 0.0, 6.74, 2.08, 1.2, 1.61, 2.41, 3.05, 3.11, 4.39, 4.0, 4.0, 2.0, 0.0, 1.58, 3.23, 2.22, 3.83, 1.36, 3.13, 4.92, 3.06, 2.12, 2.0, 2.7, 0.0, 2.0, 2.28]"
57.5,5.0,1212,3.64,"[6.6, 2.0, 4.79, 6.93, 2.9, 4.79, 6.1, 2.9, 4.79, 7.17, 2.15, 4.37, 3.98, 3.11, 5.05, 4.5, 5.14, 2.3, 0.0, 4.6, 0.0, 2.3, 3.05, 2.0, 3.05, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.83, 4.57, 2.97, 2.97, 2.0, 0.0, 2.2, 2.2, 4.83, 0.0, 2.0, 2.97, 0.0, 2.3, 4.6, 2.0, 3.05, 4.61, 3.05, 5.02, 3.05, 3.05, 2.0, 4.6, 4.61, 2.3, 4.6, 3.05, 2.3, 4.6, 2.3, 3.05, 4.6, 2.0, 4.61, 5.02, 2.0, 3.05, 3.05, 0.0, 2.3, 2.3, 4.56, 3.05, 2.3, 4.61, 2.0, 4.6, 4.6, 3.11, 3.11, 4.7, 4.1, 3.05, 6.1, 4.61, 4.0, 7.56, 6.43, 6.0, 4.17, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 7.91, 2.77, 6.96, 7.96, 9.33, 3.05, 2.0, 4.6, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 3.05, 8.0, 6.6, 2.2, 1.7, 6.74, 4.18, 2.9, 2.0, 4.88, 3.11, 4.39, 4.0, 4.0, 2.0, 0.0, 1.58, 3.23, 1.8, 4.0, 1.36, 3.13, 6.71, 2.12, 2.12, 2.7, 0.0, 2.48, 2.28]"
57.5,5.0,121D,3.83,"[2.0, 2.3, 6.6, 2.0, 4.79, 6.6, 2.9, 5.94, 6.6, 2.15, 5.94, 7.17, 2.15, 4.37, 6.65, 6.44, 5.05, 4.5, 5.14, 3.25, 2.3, 4.6, 2.3, 2.3, 3.05, 2.0, 3.05, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.0, 2.97, 2.0, 2.97, 2.0, 2.97, 2.2, 4.83, 0.0, 2.0, 0.0, 4.56, 6.43, 6.1, 2.0, 2.3, 4.61, 3.05, 2.0, 4.61, 2.0, 2.0, 4.6, 4.61, 2.3, 4.6, 3.05, 2.3, 4.6, 2.3, 3.05, 4.6, 3.05, 4.61, 5.02, 2.0, 3.05, 3.05, 0.0, 2.3, 5.02, 4.56, 2.3, 3.05, 4.61, 2.3, 4.6, 4.6, 2.3, 3.11, 5.02, 3.05, 3.05, 6.1, 4.61, 6.1, 8.1, 6.43, 6.0, 2.58, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 7.91, 6.51, 6.96, 7.96, 9.33, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 2.3, 8.0, 8.32, 4.79, 3.38, 0.0, 1.7, 5.38, 5.88, 3.29, 3.16, 1.61, 2.0, 4.79, 3.11, 5.73, 6.26, 4.0, 4.0, 2.0, 3.18, 3.23, 4.32, 3.83, 2.06, 3.13, 4.92, 5.07, 2.12, 0.0, 2.7, 0.0, 2.48, 2.28]"
57.5,5.0,1F61,3.62,"[2.0, 2.3, 6.6, 2.0, 2.3, 6.6, 2.9, 5.94, 7.93, 2.9, 5.13, 5.24, 2.15, 4.37, 4.6, 6.44, 5.05, 2.2, 5.14, 3.25, 0.0, 4.6, 2.3, 3.25, 3.05, 2.0, 2.3, 2.3, 0.0, 2.3, 5.02, 2.0, 3.05, 2.97, 2.0, 2.97, 0.0, 2.2, 4.83, 0.0, 2.2, 2.97, 0.0, 2.3, 4.6, 2.0, 2.3, 6.1, 3.05, 4.0, 5.02, 3.05, 2.3, 4.6, 0.0, 2.3, 4.6, 2.0, 2.3, 4.6, 2.3, 3.05, 5.02, 2.0, 4.61, 5.02, 2.0, 3.05, 3.05, 0.0, 2.3, 4.6, 2.02, 3.05, 4.6, 2.0, 3.05, 5.02, 4.6, 0.0, 2.3, 4.7, 4.1, 3.05, 6.1, 4.61, 4.61, 7.56, 6.43, 6.0, 2.22, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 7.91, 6.51, 6.96, 6.08, 9.33, 3.05, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 8.32, 8.0, 8.32, 3.38, 0.0, 1.7, 7.29, 4.18, 1.2, 3.16, 1.61, 2.41, 4.0, 2.0, 4.39, 4.39, 4.0, 2.0, 2.0, 1.58, 3.23, 4.98, 4.0, 1.36, 3.13, 4.92, 3.06, 2.12, 2.12, 2.7, 0.0, 2.48, 2.28]"
57.5,5.0,2005,3.89,"[2.0, 2.3, 6.6, 2.9, 4.79, 6.6, 2.9, 3.05, 8.16, 2.9, 6.44, 7.77, 2.15, 4.37, 6.65, 4.5, 4.5, 3.18, 2.3, 3.25, 2.3, 4.6, 2.3, 3.25, 3.05, 2.0, 2.3, 2.3, 0.0, 3.05, 3.05, 2.0, 3.05, 4.83, 4.0, 2.97, 2.97, 2.97, 2.0, 2.97, 2.2, 2.97, 2.97, 8.32, 6.43, 7.56, 4.61, 4.61, 6.1, 4.61, 2.0, 5.02, 3.05, 2.3, 3.05, 0.0, 2.3, 4.6, 3.05, 2.3, 4.6, 2.3, 3.05, 4.6, 3.05, 5.02, 5.02, 2.0, 3.05, 3.05, 2.0, 3.05, 2.3, 2.0, 2.3, 2.3, 4.56, 3.05, 5.02, 6.43, 2.3, 2.3, 5.02, 3.05, 3.05, 4.61, 4.0, 7.56, 6.43, 6.0, 2.22, 3.33, 5.1, 4.2, 4.21, 4.89, 6.23, 7.91, 6.51, 6.96, 7.96, 9.33, 4.61, 2.0, 3.05, 4.61, 4.0, 4.61, 6.43, 6.0, 6.43, 8.32, 8.0, 6.6, 2.91, 1.99, 0.0, 1.7, 6.74, 5.82, 3.29, 4.18, 1.61, 0.0, 3.05, 2.0, 5.73, 10.75, 2.0, 2.0, 2.92, 1.58, 3.23, 4.32, 4.0, 1.36, 3.13, 4.92, 3.06, 2.12, 2.7, 4.25, 0.0, 1.9, 2.28]"
