rho_0,alpha,mean_pw_distance
47.5,2.75,15.179432516914027
47.5,2.5,13.800074518712202
47.5,2.25,12.41939891327481
47.5,2.0,11.039883726485778
47.5,1.75,9.660491154612936
47.5,1.5,8.278975241023948
47.5,1.25,6.89986064841559
47.5,1.0,5.520313161015146
50.0,4.75,23.108335092420866
50.0,4.5,23.05402860001245
50.0,5.0,22.865395939475807
50.0,4.25,22.648431502000147
50.0,5.25,22.382901119011322
50.0,4.0,21.8527541664314
50.0,5.5,21.751447113721028
50.0,5.75,21.012079009814695
50.0,3.75,20.682818304355447
50.0,6.0,20.18325415267722
50.0,3.5,19.319296437377208
50.0,6.25,19.2931259057853
50.0,6.5,18.35585231772451
50.0,3.25,17.939971217563656
50.0,6.75,17.386193378012706
50.0,3.0,16.559945432091258
50.0,7.0,16.392555063783213
50.0,2.75,15.179432516914025
50.0,2.5,13.800074518712202
50.0,2.25,12.419398913274813
50.0,2.0,11.039883726485778
50.0,1.75,9.660491154612936
50.0,1.5,8.278975241023948
50.0,1.25,6.89986064841559
50.0,1.0,5.520313161015146
52.5,4.5,21.959051149632472
52.5,4.25,21.877083056439925
52.5,4.75,21.721338108206325
52.5,4.0,21.422828250801
52.5,5.0,21.235376727054764
52.5,5.25,20.595183951330462
52.5,3.75,20.553544047407048
52.5,5.5,19.841385683199192
52.5,3.5,19.31449217387024
52.5,5.75,19.001079848095912
52.5,6.0,18.096364986774265
52.5,3.25,17.939971217563656
52.5,6.25,17.15072729220688
52.5,3.0,16.559945432091258
52.5,6.5,16.17178409118878
52.5,2.75,15.179432516914025
52.5,6.75,15.170736558182364
52.5,7.0,14.163863202350086
52.5,2.5,13.8000745187122
52.5,2.25,12.419398913274813
52.5,2.0,11.039883726485778
52.5,1.75,9.660491154612936
52.5,1.5,8.278975241023948
52.5,1.25,6.89986064841559
52.5,1.0,5.520313161015146
55.0,4.25,20.80721421342727
55.0,4.0,20.695181996788758
55.0,4.5,20.57913726529212
55.0,3.75,20.185906335465955
55.0,4.75,20.08621712207488
55.0,5.0,19.439047964453398
55.0,3.5,19.235394187627318
55.0,5.25,18.667747861224644
55.0,3.25,17.93964546061309
55.0,5.5,17.815901369482216
55.0,5.75,16.89892301856525
55.0,3.0,16.559945432091258
55.0,6.0,15.94108927333035
55.0,2.75,15.179432516914025
55.0,6.25,14.953199830895947
55.0,6.5,13.947104831482308
55.0,2.5,13.8000745187122
55.0,6.75,12.942693343989205
55.0,2.25,12.419398913274813
55.0,7.0,11.946167708365003
55.0,2.0,11.039883726485778
55.0,1.75,9.660491154612936
55.0,1.5,8.278975241023948
55.0,1.25,6.89986064841559
55.0,1.0,5.520313161015146
57.5,4.0,19.65441496223391
57.5,3.75,19.507810088041246
57.5,4.25,19.435562640165976
57.5,4.5,18.938992412034768
57.5,3.5,18.93657690252918
57.5,4.75,18.278858996465896
57.5,3.25,17.898667987068173
57.5,5.0,17.492826108044174
57.5,5.25,16.62717418151756
57.5,3.0,16.559945432091258
57.5,5.5,15.698233803726367
57.5,2.75,15.179432516914025
57.5,5.75,14.729465686210634
57.5,2.5,13.8000745187122
57.5,6.0,13.733313918219082
57.5,6.25,12.72567435308289
57.5,2.25,12.419398913274813
57.5,6.5,11.720684509460705
57.5,2.0,11.039883726485778
57.5,6.75,10.744819219370523
57.5,7.0,9.821020806458385
57.5,1.75,9.660491154612936
57.5,1.5,8.278975241023948
57.5,1.25,6.89986064841559
57.5,1.0,5.520313161015146
60.0,3.75,18.50061928568016
60.0,3.5,18.313866199314027
60.0,4.0,18.29220058230865
60.0,4.25,17.789946373166895
60.0,3.25,17.674636100530044
60.0,4.5,17.118023842513164
60.0,3.0,16.54639017864511
60.0,4.75,16.31591190952933
60.0,5.0,15.434832336517065
60.0,2.75,15.179432516914025
60.0,5.25,14.493512658915098
60.0,2.5,13.8000745187122
60.0,5.5,13.513896936292072
60.0,5.75,12.509785999400608
60.0,2.25,12.419398913274813
60.0,6.0,11.504974236244733
60.0,2.0,11.039883726485778
60.0,6.25,10.510345895969156
60.0,1.75,9.660491154612936
60.0,6.5,9.559194178650902
60.0,6.75,8.671567426621436
60.0,1.5,8.27897524102395
60.0,7.0,7.809936629414549
60.0,1.25,6.89986064841559
60.0,1.0,5.520313161015146
62.5,3.5,17.3455005002179
62.5,3.75,17.148539537483042
62.5,3.25,17.115362263446162
62.5,4.0,16.640480209179394
62.5,3.0,16.38971324701498
62.5,4.25,15.953454152966778
