rho_0,alpha,cv_pw_distance
52.5,5.0,32.60768402067027
52.5,5.25,33.17205861855088
52.5,4.5,33.2567230934281
52.5,5.5,34.257333564346276
52.5,4.25,34.460755586865425
52.5,5.75,35.834843393854285
52.5,4.0,35.9322124083227
52.5,3.75,37.12498230437423
52.5,1.25,37.404268594607636
52.5,3.0,37.40482993544158
52.5,2.5,37.40542098408186
52.5,1.0,37.40570022244417
52.5,1.75,37.40606404531309
52.5,2.75,37.406153568685795
52.5,2.0,37.4061885005825
52.5,3.25,37.40620932695092
52.5,2.25,37.40642917930021
52.5,3.5,37.40700082308429
52.5,1.5,37.40733581059891
52.5,6.0,37.975188103294236
55.0,4.5,32.59896536692096
55.0,4.75,32.627495625747336
55.0,5.0,33.26074305229036
55.0,4.25,33.31153362497116
55.0,5.25,34.490304626038736
55.0,4.0,34.61904520443665
55.0,3.75,36.17091610656557
55.0,5.5,36.26379241916797
55.0,3.5,37.26947445180539
55.0,1.25,37.404268594607636
55.0,3.0,37.40482993544158
55.0,2.5,37.40542098408186
55.0,1.0,37.40570022244416
55.0,1.75,37.40606404531309
55.0,2.75,37.40615356868579
55.0,2.0,37.4061885005825
55.0,2.25,37.40642917930021
55.0,3.25,37.40644650446129
55.0,1.5,37.40733581059891
55.0,5.75,38.661021937302856
55.0,6.0,41.60925728959327
57.5,4.25,32.59860985263826
57.5,4.5,32.650412922925256
57.5,4.75,33.37304310878886
57.5,4.0,33.37436292106719
57.5,5.0,34.76180538137435
57.5,3.75,34.80054646172665
57.5,3.5,36.432162308758
57.5,5.25,36.76849278403291
57.5,3.25,37.35815035824619
57.5,1.25,37.404268594607636
57.5,3.0,37.40482993544158
57.5,2.5,37.40542098408186
57.5,1.0,37.40570022244416
57.5,1.75,37.40606404531309
57.5,2.75,37.406153568685795
57.5,2.0,37.4061885005825
57.5,2.25,37.40642917930021
57.5,1.5,37.4073358105989
57.5,5.5,39.472191722683434
57.5,5.75,42.78334151864181
57.5,6.0,46.714687815493974
60.0,4.0,32.59771868715771
60.0,4.25,32.677201886814
60.0,3.75,33.44721122865469
60.0,4.5,33.51288575668565
60.0,3.5,35.004490890192706
60.0,4.75,35.0837268537399
60.0,3.25,36.701570403238115
60.0,5.0,37.38484145977644
60.0,3.0,37.400434942204335
60.0,1.25,37.404268594607636
60.0,2.5,37.40542098408186
60.0,1.0,37.40570022244417
60.0,1.75,37.406064045313094
60.0,2.75,37.406153568685795
60.0,2.0,37.4061885005825
60.0,2.25,37.40642917930021
60.0,1.5,37.4073358105989
60.0,5.25,40.434676764975094
60.0,5.5,44.1930245001582
60.0,5.75,48.63026707179233
60.0,6.0,53.637375887637816
62.5,3.75,32.598292172164925
62.5,4.0,32.70887095768794
62.5,3.5,33.53134520553158
62.5,4.25,33.68362151994593
62.5,3.25,35.24159868447202
62.5,4.5,35.4786379951332
62.5,3.0,36.9511042605551
62.5,1.25,37.40426859460763
62.5,2.5,37.40542098408186
62.5,1.0,37.40570022244416
62.5,1.75,37.406064045313094
62.5,2.0,37.4061885005825
62.5,2.25,37.40642917930021
62.5,1.5,37.4073358105989
62.5,2.75,37.407438454560186
62.5,4.75,38.138007395211105
62.5,5.0,41.609294208113795
62.5,5.25,45.88805691592337
62.5,5.5,50.90060221689957
62.5,5.75,56.596559752801255
62.5,6.0,62.60231807008729
65.0,3.5,32.59715797198865
65.0,3.75,32.75078106423907
65.0,3.25,33.63378891401524
65.0,4.0,33.88851957346411
65.0,3.0,35.51154875726435
65.0,4.25,35.970810555241684
65.0,2.75,37.17834381339466
65.0,1.25,37.40426859460763
65.0,2.5,37.405473930586055
65.0,1.0,37.40570022244416
65.0,1.75,37.406064045313094
65.0,2.0,37.4061885005825
65.0,2.25,37.40642917930021
65.0,1.5,37.4073358105989
65.0,4.5,39.051216419917886
65.0,4.75,43.04483854160026
65.0,5.0,47.94862999832393
65.0,5.25,53.635769279797884
65.0,5.5,59.978167336041125
65.0,5.75,66.38673140802422
65.0,6.0,72.89547219919899
67.5,3.25,32.598616570596874
67.5,3.5,32.80350039785735
