rho_0,alpha,device,,error_list
57.5,2.0,2055,mean,13.55
57.5,2.0,2055,median,12.28
57.5,2.0,2055,rmse,15.97
57.5,2.0,2055,max,30.55
57.5,2.0,2055,min,0.0
57.5,2.0,2055,count,141.0
57.5,2.0,2055,std,8.45
57.5,2.25,1002,mean,12.98
57.5,2.25,1002,median,10.54
57.5,2.25,1002,rmse,15.97
57.5,2.25,1002,max,36.6
57.5,2.25,1002,min,0.37
57.5,2.25,1002,count,141.0
57.5,2.25,1002,std,9.29
57.5,2.25,104D,mean,11.11
57.5,2.25,104D,median,8.25
57.5,2.25,104D,rmse,14.08
57.5,2.25,104D,max,42.35
57.5,2.25,104D,min,0.0
57.5,2.25,104D,count,136.0
57.5,2.25,104D,std,8.65
57.5,2.25,10CE,mean,12.96
57.5,2.25,10CE,median,11.72
57.5,2.25,10CE,rmse,15.44
57.5,2.25,10CE,max,36.59
57.5,2.25,10CE,min,0.0
57.5,2.25,10CE,count,146.0
57.5,2.25,10CE,std,8.41
57.5,2.25,1210,mean,13.19
57.5,2.25,1210,median,11.9
57.5,2.25,1210,rmse,15.68
57.5,2.25,1210,max,32.66
57.5,2.25,1210,min,0.0
57.5,2.25,1210,count,143.0
57.5,2.25,1210,std,8.48
57.5,2.25,1211,mean,12.28
57.5,2.25,1211,median,8.73
57.5,2.25,1211,rmse,15.34
57.5,2.25,1211,max,32.81
57.5,2.25,1211,min,0.37
57.5,2.25,1211,count,136.0
57.5,2.25,1211,std,9.2
57.5,2.25,1212,mean,13.77
57.5,2.25,1212,median,12.97
57.5,2.25,1212,rmse,16.42
57.5,2.25,1212,max,32.81
57.5,2.25,1212,min,0.0
57.5,2.25,1212,count,141.0
57.5,2.25,1212,std,8.95
57.5,2.25,121D,mean,12.87
57.5,2.25,121D,median,11.72
57.5,2.25,121D,rmse,15.23
57.5,2.25,121D,max,29.79
57.5,2.25,121D,min,0.0
57.5,2.25,121D,count,147.0
57.5,2.25,121D,std,8.13
57.5,2.25,1F61,mean,11.67
57.5,2.25,1F61,median,8.62
57.5,2.25,1F61,rmse,14.66
57.5,2.25,1F61,max,35.86
57.5,2.25,1F61,min,0.38
57.5,2.25,1F61,count,144.0
57.5,2.25,1F61,std,8.88
57.5,2.25,2005,mean,13.03
57.5,2.25,2005,median,11.87
57.5,2.25,2005,rmse,15.41
57.5,2.25,2005,max,32.6
57.5,2.25,2005,min,0.1
57.5,2.25,2005,count,145.0
57.5,2.25,2005,std,8.24
57.5,2.25,2055,mean,13.29
57.5,2.25,2055,median,12.02
57.5,2.25,2055,rmse,15.78
57.5,2.25,2055,max,30.55
57.5,2.25,2055,min,0.0
57.5,2.25,2055,count,141.0
57.5,2.25,2055,std,8.51
57.5,2.5,1002,mean,9.82
57.5,2.5,1002,median,6.54
57.5,2.5,1002,rmse,12.73
57.5,2.5,1002,max,36.6
57.5,2.5,1002,min,0.4
57.5,2.5,1002,count,141.0
57.5,2.5,1002,std,8.1
57.5,2.5,104D,mean,9.18
57.5,2.5,104D,median,6.1
57.5,2.5,104D,rmse,12.06
57.5,2.5,104D,max,42.35
57.5,2.5,104D,min,0.0
57.5,2.5,104D,count,136.0
57.5,2.5,104D,std,7.83
57.5,2.5,10CE,mean,10.34
57.5,2.5,10CE,median,8.35
57.5,2.5,10CE,rmse,12.55
57.5,2.5,10CE,max,30.55
57.5,2.5,10CE,min,0.0
57.5,2.5,10CE,count,146.0
57.5,2.5,10CE,std,7.12
57.5,2.5,1210,mean,10.63
57.5,2.5,1210,median,8.71
57.5,2.5,1210,rmse,13.1
57.5,2.5,1210,max,32.6
57.5,2.5,1210,min,0.0
57.5,2.5,1210,count,143.0
57.5,2.5,1210,std,7.66
57.5,2.5,1211,mean,9.73
57.5,2.5,1211,median,6.1
57.5,2.5,1211,rmse,12.53
57.5,2.5,1211,max,32.66
57.5,2.5,1211,min,0.42
57.5,2.5,1211,count,136.0
57.5,2.5,1211,std,7.91
57.5,2.5,1212,mean,12.37
57.5,2.5,1212,median,11.49
57.5,2.5,1212,rmse,15.0
57.5,2.5,1212,max,32.6
57.5,2.5,1212,min,0.0
57.5,2.5,1212,count,141.0
57.5,2.5,1212,std,8.48
57.5,2.5,121D,mean,10.39
57.5,2.5,121D,median,8.48
57.5,2.5,121D,rmse,12.78
57.5,2.5,121D,max,29.51
57.5,2.5,121D,min,0.0
57.5,2.5,121D,count,147.0
57.5,2.5,121D,std,7.44
57.5,2.5,1F61,mean,8.73
57.5,2.5,1F61,median,5.62
57.5,2.5,1F61,rmse,11.44
57.5,2.5,1F61,max,34.5
57.5,2.5,1F61,min,0.0
57.5,2.5,1F61,count,144.0
57.5,2.5,1F61,std,7.4
57.5,2.5,2005,mean,10.55
57.5,2.5,2005,median,8.54
57.5,2.5,2005,rmse,12.88
57.5,2.5,2005,max,30.47
57.5,2.5,2005,min,0.1
57.5,2.5,2005,count,145.0
57.5,2.5,2005,std,7.39
57.5,2.5,2055,mean,10.78
57.5,2.5,2055,median,9.04
57.5,2.5,2055,rmse,13.08
57.5,2.5,2055,max,29.74
57.5,2.5,2055,min,0.0
57.5,2.5,2055,count,141.0
57.5,2.5,2055,std,7.42
57.5,2.75,1002,mean,6.53
57.5,2.75,1002,median,4.7
57.5,2.75,1002,rmse,8.36
57.5,2.75,1002,max,21.52
57.5,2.75,1002,min,0.25
57.5,2.75,1002,count,141.0
57.5,2.75,1002,std,5.22
57.5,2.75,104D,mean,5.84
57.5,2.75,104D,median,4.71
57.5,2.75,104D,rmse,7.56
57.5,2.75,104D,max,21.4
57.5,2.75,104D,min,0.0
57.5,2.75,104D,count,136.0
57.5,2.75,104D,std,4.81
57.5,2.75,10CE,mean,7.47
57.5,2.75,10CE,median,5.01
57.5,2.75,10CE,rmse,9.65
57.5,2.75,10CE,max,27.4
57.5,2.75,10CE,min,0.0
57.5,2.75,10CE,count,146.0
57.5,2.75,10CE,std,6.12
57.5,2.75,1210,mean,6.23
57.5,2.75,1210,median,4.61
57.5,2.75,1210,rmse,8.15
57.5,2.75,1210,max,23.4
57.5,2.75,1210,min,0.0
57.5,2.75,1210,count,143.0
57.5,2.75,1210,std,5.25
57.5,2.75,1211,mean,6.67
57.5,2.75,1211,median,4.63
57.5,2.75,1211,rmse,8.96
57.5,2.75,1211,max,25.5
57.5,2.75,1211,min,0.32
57.5,2.75,1211,count,136.0
57.5,2.75,1211,std,5.98
57.5,2.75,1212,mean,7.5
57.5,2.75,1212,median,5.18
57.5,2.75,1212,rmse,9.65
57.5,2.75,1212,max,25.4
57.5,2.75,1212,min,0.0
57.5,2.75,1212,count,141.0
57.5,2.75,1212,std,6.07
57.5,2.75,121D,mean,6.99
57.5,2.75,121D,median,4.91
57.5,2.75,121D,rmse,8.87
57.5,2.75,121D,max,23.51
57.5,2.75,121D,min,0.0
57.5,2.75,121D,count,147.0
57.5,2.75,121D,std,5.46
57.5,2.75,1F61,mean,5.25
57.5,2.75,1F61,median,4.28
57.5,2.75,1F61,rmse,7.07
57.5,2.75,1F61,max,23.4
57.5,2.75,1F61,min,0.0
57.5,2.75,1F61,count,144.0
57.5,2.75,1F61,std,4.73
57.5,2.75,2005,mean,6.98
57.5,2.75,2005,median,4.92
57.5,2.75,2005,rmse,9.07
57.5,2.75,2005,max,25.4
57.5,2.75,2005,min,0.1
57.5,2.75,2005,count,145.0
57.5,2.75,2005,std,5.8
57.5,2.75,2055,mean,6.43
57.5,2.75,2055,median,4.34
57.5,2.75,2055,rmse,8.73
57.5,2.75,2055,max,27.4
57.5,2.75,2055,min,0.0
57.5,2.75,2055,count,141.0
57.5,2.75,2055,std,5.91
57.5,3.0,1002,mean,4.17
57.5,3.0,1002,median,3.61
57.5,3.0,1002,rmse,5.1
57.5,3.0,1002,max,17.4
57.5,3.0,1002,min,0.0
57.5,3.0,1002,count,141.0
57.5,3.0,1002,std,2.94
57.5,3.0,104D,mean,3.53
57.5,3.0,104D,median,3.06
57.5,3.0,104D,rmse,4.22
57.5,3.0,104D,max,15.4
57.5,3.0,104D,min,0.0
57.5,3.0,104D,count,136.0
57.5,3.0,104D,std,2.31
57.5,3.0,10CE,mean,4.66
57.5,3.0,10CE,median,3.96
57.5,3.0,10CE,rmse,6.22
57.5,3.0,10CE,max,30.55
57.5,3.0,10CE,min,0.0
57.5,3.0,10CE,count,146.0
57.5,3.0,10CE,std,4.12
57.5,3.0,1210,mean,3.59
57.5,3.0,1210,median,3.07
57.5,3.0,1210,rmse,4.31
57.5,3.0,1210,max,13.3
57.5,3.0,1210,min,0.0
57.5,3.0,1210,count,143.0
57.5,3.0,1210,std,2.39
57.5,3.0,1211,mean,3.74
57.5,3.0,1211,median,3.23
57.5,3.0,1211,rmse,4.4
57.5,3.0,1211,max,14.07
57.5,3.0,1211,min,0.0
57.5,3.0,1211,count,136.0
57.5,3.0,1211,std,2.31
57.5,3.0,1212,mean,4.65
57.5,3.0,1212,median,3.94
57.5,3.0,1212,rmse,5.94
57.5,3.0,1212,max,17.4
57.5,3.0,1212,min,0.0
57.5,3.0,1212,count,141.0
57.5,3.0,1212,std,3.69
57.5,3.0,121D,mean,4.43
57.5,3.0,121D,median,3.68
57.5,3.0,121D,rmse,5.61
57.5,3.0,121D,max,18.05
57.5,3.0,121D,min,0.0
57.5,3.0,121D,count,147.0
57.5,3.0,121D,std,3.45
57.5,3.0,1F61,mean,3.56
57.5,3.0,1F61,median,3.04
57.5,3.0,1F61,rmse,4.49
57.5,3.0,1F61,max,19.08
57.5,3.0,1F61,min,0.0
57.5,3.0,1F61,count,144.0
57.5,3.0,1F61,std,2.73
57.5,3.0,2005,mean,3.9
57.5,3.0,2005,median,3.32
57.5,3.0,2005,rmse,4.68
57.5,3.0,2005,max,14.07
57.5,3.0,2005,min,0.0
57.5,3.0,2005,count,145.0
57.5,3.0,2005,std,2.59
57.5,3.0,2055,mean,3.73
57.5,3.0,2055,median,3.05
57.5,3.0,2055,rmse,4.7
57.5,3.0,2055,max,16.07
57.5,3.0,2055,min,0.0
57.5,3.0,2055,count,141.0
57.5,3.0,2055,std,2.86
57.5,3.25,1002,mean,3.34
57.5,3.25,1002,median,3.05
57.5,3.25,1002,rmse,3.83
57.5,3.25,1002,max,13.43
57.5,3.25,1002,min,0.0
57.5,3.25,1002,count,141.0
57.5,3.25,1002,std,1.87
57.5,3.25,104D,mean,2.96
57.5,3.25,104D,median,2.7
57.5,3.25,104D,rmse,3.38
57.5,3.25,104D,max,6.67
57.5,3.25,104D,min,0.0
57.5,3.25,104D,count,136.0
57.5,3.25,104D,std,1.63
57.5,3.25,10CE,mean,3.33
57.5,3.25,10CE,median,2.82
57.5,3.25,10CE,rmse,4.08
57.5,3.25,10CE,max,12.28
57.5,3.25,10CE,min,0.0
57.5,3.25,10CE,count,146.0
57.5,3.25,10CE,std,2.37
57.5,3.25,1210,mean,3.11
57.5,3.25,1210,median,2.71
57.5,3.25,1210,rmse,3.72
57.5,3.25,1210,max,13.43
57.5,3.25,1210,min,0.0
57.5,3.25,1210,count,143.0
57.5,3.25,1210,std,2.05
57.5,3.25,1211,mean,3.22
57.5,3.25,1211,median,3.05
57.5,3.25,1211,rmse,3.66
57.5,3.25,1211,max,10.6
57.5,3.25,1211,min,0.0
57.5,3.25,1211,count,136.0
57.5,3.25,1211,std,1.73
57.5,3.25,1212,mean,3.64
57.5,3.25,1212,median,3.01
57.5,3.25,1212,rmse,4.45
57.5,3.25,1212,max,13.56
57.5,3.25,1212,min,0.0
57.5,3.25,1212,count,141.0
57.5,3.25,1212,std,2.55
57.5,3.25,121D,mean,3.56
57.5,3.25,121D,median,3.05
57.5,3.25,121D,rmse,4.52
57.5,3.25,121D,max,18.05
57.5,3.25,121D,min,0.0
57.5,3.25,121D,count,147.0
57.5,3.25,121D,std,2.79
57.5,3.25,1F61,mean,2.98
57.5,3.25,1F61,median,2.72
57.5,3.25,1F61,rmse,3.51
57.5,3.25,1F61,max,13.3
57.5,3.25,1F61,min,0.0
57.5,3.25,1F61,count,144.0
57.5,3.25,1F61,std,1.84
57.5,3.25,2005,mean,3.3
57.5,3.25,2005,median,3.05
57.5,3.25,2005,rmse,3.86
57.5,3.25,2005,max,13.3
57.5,3.25,2005,min,0.0
57.5,3.25,2005,count,145.0
57.5,3.25,2005,std,2.01
57.5,3.25,2055,mean,2.98
57.5,3.25,2055,median,2.71
57.5,3.25,2055,rmse,3.57
57.5,3.25,2055,max,12.28
57.5,3.25,2055,min,0.0
57.5,3.25,2055,count,141.0
57.5,3.25,2055,std,1.95
57.5,3.5,1002,mean,2.99
57.5,3.5,1002,median,2.79
57.5,3.5,1002,rmse,3.41
57.5,3.5,1002,max,11.1
57.5,3.5,1002,min,0.0
57.5,3.5,1002,count,141.0
57.5,3.5,1002,std,1.63
57.5,3.5,104D,mean,2.75
57.5,3.5,104D,median,2.54
57.5,3.5,104D,rmse,3.18
57.5,3.5,104D,max,6.69
57.5,3.5,104D,min,0.0
57.5,3.5,104D,count,136.0
57.5,3.5,104D,std,1.6
57.5,3.5,10CE,mean,2.9
57.5,3.5,10CE,median,2.42
57.5,3.5,10CE,rmse,3.49
57.5,3.5,10CE,max,10.95
57.5,3.5,10CE,min,0.13
57.5,3.5,10CE,count,146.0
57.5,3.5,10CE,std,1.94
57.5,3.5,1210,mean,2.73
57.5,3.5,1210,median,2.41
57.5,3.5,1210,rmse,3.17
57.5,3.5,1210,max,9.0
57.5,3.5,1210,min,0.0
57.5,3.5,1210,count,143.0
57.5,3.5,1210,std,1.61
57.5,3.5,1211,mean,2.97
57.5,3.5,1211,median,2.88
57.5,3.5,1211,rmse,3.33
57.5,3.5,1211,max,6.41
57.5,3.5,1211,min,0.0
57.5,3.5,1211,count,136.0
57.5,3.5,1211,std,1.5
57.5,3.5,1212,mean,3.13
57.5,3.5,1212,median,2.73
57.5,3.5,1212,rmse,3.77
57.5,3.5,1212,max,13.31
57.5,3.5,1212,min,0.0
57.5,3.5,1212,count,141.0
57.5,3.5,1212,std,2.11
57.5,3.5,121D,mean,2.86
57.5,3.5,121D,median,2.7
57.5,3.5,121D,rmse,3.29
57.5,3.5,121D,max,7.58
57.5,3.5,121D,min,0.0
57.5,3.5,121D,count,147.0
57.5,3.5,121D,std,1.63
57.5,3.5,1F61,mean,2.85
57.5,3.5,1F61,median,2.61
57.5,3.5,1F61,rmse,3.32
57.5,3.5,1F61,max,13.3
57.5,3.5,1F61,min,0.0
57.5,3.5,1F61,count,144.0
57.5,3.5,1F61,std,1.71
57.5,3.5,2005,mean,3.0
57.5,3.5,2005,median,2.62
57.5,3.5,2005,rmse,3.51
57.5,3.5,2005,max,13.3
57.5,3.5,2005,min,0.0
57.5,3.5,2005,count,145.0
57.5,3.5,2005,std,1.83
57.5,3.5,2055,mean,2.74
57.5,3.5,2055,median,2.62
57.5,3.5,2055,rmse,3.15
57.5,3.5,2055,max,8.1
57.5,3.5,2055,min,0.0
57.5,3.5,2055,count,141.0
57.5,3.5,2055,std,1.56
57.5,3.75,1002,mean,2.79
57.5,3.75,1002,median,2.62
57.5,3.75,1002,rmse,3.12
57.5,3.75,1002,max,6.1
57.5,3.75,1002,min,0.0
57.5,3.75,1002,count,141.0
57.5,3.75,1002,std,1.4
57.5,3.75,104D,mean,2.7
57.5,3.75,104D,median,2.5
57.5,3.75,104D,rmse,3.1
57.5,3.75,104D,max,7.0
57.5,3.75,104D,min,0.0
57.5,3.75,104D,count,136.0
57.5,3.75,104D,std,1.53
57.5,3.75,10CE,mean,2.72
57.5,3.75,10CE,median,2.41
57.5,3.75,10CE,rmse,3.18
57.5,3.75,10CE,max,10.95
57.5,3.75,10CE,min,0.0
57.5,3.75,10CE,count,146.0
57.5,3.75,10CE,std,1.65
57.5,3.75,1210,mean,2.58
57.5,3.75,1210,median,2.33
57.5,3.75,1210,rmse,2.93
57.5,3.75,1210,max,7.21
57.5,3.75,1210,min,0.1
57.5,3.75,1210,count,143.0
57.5,3.75,1210,std,1.39
57.5,3.75,1211,mean,2.72
57.5,3.75,1211,median,2.59
57.5,3.75,1211,rmse,3.04
57.5,3.75,1211,max,6.41
57.5,3.75,1211,min,0.16
57.5,3.75,1211,count,136.0
57.5,3.75,1211,std,1.35
57.5,3.75,1212,mean,2.98
57.5,3.75,1212,median,2.78
57.5,3.75,1212,rmse,3.47
57.5,3.75,1212,max,13.3
57.5,3.75,1212,min,0.15
57.5,3.75,1212,count,141.0
57.5,3.75,1212,std,1.78
57.5,3.75,121D,mean,2.69
57.5,3.75,121D,median,2.44
57.5,3.75,121D,rmse,3.09
57.5,3.75,121D,max,7.58
57.5,3.75,121D,min,0.0
57.5,3.75,121D,count,147.0
57.5,3.75,121D,std,1.52
57.5,3.75,1F61,mean,2.6
57.5,3.75,1F61,median,2.52
57.5,3.75,1F61,rmse,2.97
57.5,3.75,1F61,max,7.02
57.5,3.75,1F61,min,0.0
57.5,3.75,1F61,count,144.0
57.5,3.75,1F61,std,1.45
57.5,3.75,2005,mean,2.62
57.5,3.75,2005,median,2.34
57.5,3.75,2005,rmse,3.07
57.5,3.75,2005,max,13.3
57.5,3.75,2005,min,0.0
57.5,3.75,2005,count,145.0
57.5,3.75,2005,std,1.61
57.5,3.75,2055,mean,2.59
57.5,3.75,2055,median,2.46
57.5,3.75,2055,rmse,2.96
57.5,3.75,2055,max,6.94
57.5,3.75,2055,min,0.0
57.5,3.75,2055,count,141.0
57.5,3.75,2055,std,1.44
57.5,4.0,1002,mean,2.75
57.5,4.0,1002,median,2.62
57.5,4.0,1002,rmse,3.09
57.5,4.0,1002,max,6.32
57.5,4.0,1002,min,0.0
57.5,4.0,1002,count,141.0
57.5,4.0,1002,std,1.41
57.5,4.0,104D,mean,2.71
57.5,4.0,104D,median,2.36
57.5,4.0,104D,rmse,3.09
57.5,4.0,104D,max,7.0
57.5,4.0,104D,min,0.16
57.5,4.0,104D,count,136.0
57.5,4.0,104D,std,1.5
57.5,4.0,10CE,mean,2.63
57.5,4.0,10CE,median,2.58
57.5,4.0,10CE,rmse,3.03
57.5,4.0,10CE,max,7.5
57.5,4.0,10CE,min,0.01
57.5,4.0,10CE,count,146.0
57.5,4.0,10CE,std,1.49
57.5,4.0,1210,mean,2.64
57.5,4.0,1210,median,2.54
57.5,4.0,1210,rmse,2.98
57.5,4.0,1210,max,6.25
57.5,4.0,1210,min,0.1
57.5,4.0,1210,count,143.0
57.5,4.0,1210,std,1.39
57.5,4.0,1211,mean,2.77
57.5,4.0,1211,median,2.69
57.5,4.0,1211,rmse,3.12
57.5,4.0,1211,max,6.41
57.5,4.0,1211,min,0.16
57.5,4.0,1211,count,136.0
57.5,4.0,1211,std,1.43
57.5,4.0,1212,mean,2.71
57.5,4.0,1212,median,2.53
57.5,4.0,1212,rmse,3.13
57.5,4.0,1212,max,6.82
57.5,4.0,1212,min,0.2
57.5,4.0,1212,count,141.0
57.5,4.0,1212,std,1.57
57.5,4.0,121D,mean,2.62
57.5,4.0,121D,median,2.59
57.5,4.0,121D,rmse,3.02
57.5,4.0,121D,max,8.1
57.5,4.0,121D,min,0.0
57.5,4.0,121D,count,147.0
57.5,4.0,121D,std,1.51
57.5,4.0,1F61,mean,2.61
57.5,4.0,1F61,median,2.24
57.5,4.0,1F61,rmse,2.96
57.5,4.0,1F61,max,7.02
57.5,4.0,1F61,min,0.0
57.5,4.0,1F61,count,144.0
57.5,4.0,1F61,std,1.39
57.5,4.0,2005,mean,2.52
57.5,4.0,2005,median,2.4
57.5,4.0,2005,rmse,2.82
57.5,4.0,2005,max,6.7
57.5,4.0,2005,min,0.1
57.5,4.0,2005,count,145.0
57.5,4.0,2005,std,1.25
57.5,4.0,2055,mean,2.55
57.5,4.0,2055,median,2.42
57.5,4.0,2055,rmse,2.9
57.5,4.0,2055,max,6.11
57.5,4.0,2055,min,0.15
57.5,4.0,2055,count,141.0
57.5,4.0,2055,std,1.38
57.5,4.25,1002,mean,2.74
57.5,4.25,1002,median,2.6
57.5,4.25,1002,rmse,3.12
57.5,4.25,1002,max,7.05
57.5,4.25,1002,min,0.31
57.5,4.25,1002,count,141.0
57.5,4.25,1002,std,1.49
57.5,4.25,104D,mean,2.8
57.5,4.25,104D,median,2.6
57.5,4.25,104D,rmse,3.19
57.5,4.25,104D,max,7.0
57.5,4.25,104D,min,0.16
57.5,4.25,104D,count,136.0
57.5,4.25,104D,std,1.52
57.5,4.25,10CE,mean,2.58
57.5,4.25,10CE,median,2.28
57.5,4.25,10CE,rmse,2.99
57.5,4.25,10CE,max,7.5
57.5,4.25,10CE,min,0.0
57.5,4.25,10CE,count,146.0
57.5,4.25,10CE,std,1.51
57.5,4.25,1210,mean,2.63
57.5,4.25,1210,median,2.54
57.5,4.25,1210,rmse,2.97
57.5,4.25,1210,max,7.17
57.5,4.25,1210,min,0.2
57.5,4.25,1210,count,143.0
57.5,4.25,1210,std,1.39
57.5,4.25,1211,mean,2.94
57.5,4.25,1211,median,2.82
57.5,4.25,1211,rmse,3.29
57.5,4.25,1211,max,7.58
57.5,4.25,1211,min,0.2
57.5,4.25,1211,count,136.0
57.5,4.25,1211,std,1.46
57.5,4.25,1212,mean,2.77
57.5,4.25,1212,median,2.68
57.5,4.25,1212,rmse,3.19
57.5,4.25,1212,max,8.04
57.5,4.25,1212,min,0.2
57.5,4.25,1212,count,141.0
57.5,4.25,1212,std,1.58
57.5,4.25,121D,mean,2.72
57.5,4.25,121D,median,2.69
57.5,4.25,121D,rmse,3.14
57.5,4.25,121D,max,8.1
57.5,4.25,121D,min,0.04
57.5,4.25,121D,count,147.0
57.5,4.25,121D,std,1.56
57.5,4.25,1F61,mean,2.6
57.5,4.25,1F61,median,2.39
57.5,4.25,1F61,rmse,2.96
57.5,4.25,1F61,max,7.02
57.5,4.25,1F61,min,0.0
57.5,4.25,1F61,count,144.0
57.5,4.25,1F61,std,1.42
57.5,4.25,2005,mean,2.65
57.5,4.25,2005,median,2.53
57.5,4.25,2005,rmse,2.99
57.5,4.25,2005,max,8.07
57.5,4.25,2005,min,0.22
57.5,4.25,2005,count,145.0
57.5,4.25,2005,std,1.37
57.5,4.25,2055,mean,2.71
57.5,4.25,2055,median,2.49
57.5,4.25,2055,rmse,3.08
57.5,4.25,2055,max,7.28
57.5,4.25,2055,min,0.19
57.5,4.25,2055,count,141.0
57.5,4.25,2055,std,1.47
57.5,4.5,1002,mean,2.91
57.5,4.5,1002,median,2.8
57.5,4.5,1002,rmse,3.29
57.5,4.5,1002,max,6.99
57.5,4.5,1002,min,0.31
57.5,4.5,1002,count,141.0
57.5,4.5,1002,std,1.54
57.5,4.5,104D,mean,3.04
57.5,4.5,104D,median,2.8
57.5,4.5,104D,rmse,3.46
57.5,4.5,104D,max,7.99
57.5,4.5,104D,min,0.16
57.5,4.5,104D,count,136.0
57.5,4.5,104D,std,1.65
57.5,4.5,10CE,mean,2.87
57.5,4.5,10CE,median,2.66
57.5,4.5,10CE,rmse,3.33
57.5,4.5,10CE,max,8.33
57.5,4.5,10CE,min,0.29
57.5,4.5,10CE,count,146.0
57.5,4.5,10CE,std,1.68
57.5,4.5,1210,mean,2.76
57.5,4.5,1210,median,2.66
57.5,4.5,1210,rmse,3.15
57.5,4.5,1210,max,7.63
57.5,4.5,1210,min,0.37
57.5,4.5,1210,count,143.0
57.5,4.5,1210,std,1.52
57.5,4.5,1211,mean,3.06
57.5,4.5,1211,median,2.78
57.5,4.5,1211,rmse,3.46
57.5,4.5,1211,max,9.26
57.5,4.5,1211,min,0.19
57.5,4.5,1211,count,136.0
57.5,4.5,1211,std,1.62
57.5,4.5,1212,mean,2.87
57.5,4.5,1212,median,2.7
57.5,4.5,1212,rmse,3.32
57.5,4.5,1212,max,8.03
57.5,4.5,1212,min,0.25
57.5,4.5,1212,count,141.0
57.5,4.5,1212,std,1.67
57.5,4.5,121D,mean,3.03
57.5,4.5,121D,median,2.73
57.5,4.5,121D,rmse,3.52
57.5,4.5,121D,max,8.1
57.5,4.5,121D,min,0.04
57.5,4.5,121D,count,147.0
57.5,4.5,121D,std,1.78
57.5,4.5,1F61,mean,2.9
57.5,4.5,1F61,median,2.67
57.5,4.5,1F61,rmse,3.28
57.5,4.5,1F61,max,8.47
57.5,4.5,1F61,min,0.33
57.5,4.5,1F61,count,144.0
57.5,4.5,1F61,std,1.54
57.5,4.5,2005,mean,2.81
57.5,4.5,2005,median,2.59
57.5,4.5,2005,rmse,3.16
57.5,4.5,2005,max,8.07
57.5,4.5,2005,min,0.42
57.5,4.5,2005,count,145.0
57.5,4.5,2005,std,1.44
57.5,4.5,2055,mean,2.93
57.5,4.5,2055,median,2.74
57.5,4.5,2055,rmse,3.35
57.5,4.5,2055,max,8.37
57.5,4.5,2055,min,0.19
57.5,4.5,2055,count,141.0
57.5,4.5,2055,std,1.62
57.5,4.75,1002,mean,3.01
57.5,4.75,1002,median,2.85
57.5,4.75,1002,rmse,3.4
57.5,4.75,1002,max,7.2
57.5,4.75,1002,min,0.25
57.5,4.75,1002,count,141.0
57.5,4.75,1002,std,1.57
57.5,4.75,104D,mean,3.17
57.5,4.75,104D,median,2.81
57.5,4.75,104D,rmse,3.66
57.5,4.75,104D,max,8.45
57.5,4.75,104D,min,0.16
57.5,4.75,104D,count,136.0
57.5,4.75,104D,std,1.83
57.5,4.75,10CE,mean,3.13
57.5,4.75,10CE,median,2.76
57.5,4.75,10CE,rmse,3.63
57.5,4.75,10CE,max,8.41
57.5,4.75,10CE,min,0.3
57.5,4.75,10CE,count,146.0
57.5,4.75,10CE,std,1.83
57.5,4.75,1210,mean,2.92
57.5,4.75,1210,median,2.66
57.5,4.75,1210,rmse,3.38
57.5,4.75,1210,max,7.63
57.5,4.75,1210,min,0.37
57.5,4.75,1210,count,143.0
57.5,4.75,1210,std,1.7
57.5,4.75,1211,mean,3.19
57.5,4.75,1211,median,2.78
57.5,4.75,1211,rmse,3.7
57.5,4.75,1211,max,9.26
57.5,4.75,1211,min,0.2
57.5,4.75,1211,count,136.0
57.5,4.75,1211,std,1.88
57.5,4.75,1212,mean,3.12
57.5,4.75,1212,median,2.8
57.5,4.75,1212,rmse,3.56
57.5,4.75,1212,max,8.22
57.5,4.75,1212,min,0.38
57.5,4.75,1212,count,141.0
57.5,4.75,1212,std,1.71
57.5,4.75,121D,mean,3.2
57.5,4.75,121D,median,2.82
57.5,4.75,121D,rmse,3.65
57.5,4.75,121D,max,8.24
57.5,4.75,121D,min,0.11
57.5,4.75,121D,count,147.0
57.5,4.75,121D,std,1.77
57.5,4.75,1F61,mean,3.07
57.5,4.75,1F61,median,2.78
57.5,4.75,1F61,rmse,3.51
57.5,4.75,1F61,max,8.76
57.5,4.75,1F61,min,0.31
57.5,4.75,1F61,count,144.0
57.5,4.75,1F61,std,1.71
57.5,4.75,2005,mean,3.08
57.5,4.75,2005,median,2.71
57.5,4.75,2005,rmse,3.54
57.5,4.75,2005,max,8.48
57.5,4.75,2005,min,0.25
57.5,4.75,2005,count,145.0
57.5,4.75,2005,std,1.75
57.5,4.75,2055,mean,3.12
57.5,4.75,2055,median,2.83
57.5,4.75,2055,rmse,3.57
57.5,4.75,2055,max,8.37
57.5,4.75,2055,min,0.19
57.5,4.75,2055,count,141.0
57.5,4.75,2055,std,1.73
57.5,5.0,1002,mean,3.25
57.5,5.0,1002,median,3.03
57.5,5.0,1002,rmse,3.67
57.5,5.0,1002,max,7.99
57.5,5.0,1002,min,0.31
57.5,5.0,1002,count,141.0
57.5,5.0,1002,std,1.71
57.5,5.0,104D,mean,3.29
57.5,5.0,104D,median,2.98
57.5,5.0,104D,rmse,3.76
57.5,5.0,104D,max,8.92
57.5,5.0,104D,min,0.16
57.5,5.0,104D,count,136.0
57.5,5.0,104D,std,1.82
57.5,5.0,10CE,mean,3.32
57.5,5.0,10CE,median,3.08
