rho_0,alpha,device,,error_list
40.0,2.0,2005,mean,18.27
40.0,2.0,2005,median,16.34
40.0,2.0,2005,rmse,21.33
40.0,2.0,2005,max,43.96
40.0,2.0,2005,min,0.7
40.0,2.0,2005,count,145.0
40.0,2.0,2005,std,11.01
40.0,2.0,2055,mean,17.75
40.0,2.0,2055,median,15.6
40.0,2.0,2055,rmse,20.76
40.0,2.0,2055,max,43.96
40.0,2.0,2055,min,0.7
40.0,2.0,2055,count,141.0
40.0,2.0,2055,std,10.77
40.0,2.25,1002,mean,21.64
40.0,2.25,1002,median,21.52
40.0,2.25,1002,rmse,24.75
40.0,2.25,1002,max,42.95
40.0,2.25,1002,min,0.55
40.0,2.25,1002,count,141.0
40.0,2.25,1002,std,12.02
40.0,2.25,104D,mean,18.83
40.0,2.25,104D,median,17.88
40.0,2.25,104D,rmse,21.97
40.0,2.25,104D,max,42.45
40.0,2.25,104D,min,0.42
40.0,2.25,104D,count,136.0
40.0,2.25,104D,std,11.33
40.0,2.25,10CE,mean,18.73
40.0,2.25,10CE,median,17.2
40.0,2.25,10CE,rmse,22.01
40.0,2.25,10CE,max,43.95
40.0,2.25,10CE,min,0.54
40.0,2.25,10CE,count,146.0
40.0,2.25,10CE,std,11.55
40.0,2.25,1210,mean,17.06
40.0,2.25,1210,median,14.99
40.0,2.25,1210,rmse,19.95
40.0,2.25,1210,max,44.05
40.0,2.25,1210,min,0.7
40.0,2.25,1210,count,143.0
40.0,2.25,1210,std,10.33
40.0,2.25,1211,mean,20.73
40.0,2.25,1211,median,19.96
40.0,2.25,1211,rmse,23.78
40.0,2.25,1211,max,42.57
40.0,2.25,1211,min,0.7
40.0,2.25,1211,count,136.0
40.0,2.25,1211,std,11.66
40.0,2.25,1212,mean,17.84
40.0,2.25,1212,median,16.07
40.0,2.25,1212,rmse,20.96
40.0,2.25,1212,max,42.5
40.0,2.25,1212,min,0.7
40.0,2.25,1212,count,141.0
40.0,2.25,1212,std,11.01
40.0,2.25,121D,mean,18.32
40.0,2.25,121D,median,16.51
40.0,2.25,121D,rmse,21.59
40.0,2.25,121D,max,42.82
40.0,2.25,121D,min,0.7
40.0,2.25,121D,count,147.0
40.0,2.25,121D,std,11.44
40.0,2.25,1F61,mean,21.35
40.0,2.25,1F61,median,21.06
40.0,2.25,1F61,rmse,24.6
40.0,2.25,1F61,max,43.41
40.0,2.25,1F61,min,0.7
40.0,2.25,1F61,count,144.0
40.0,2.25,1F61,std,12.21
40.0,2.25,2005,mean,16.37
40.0,2.25,2005,median,14.53
40.0,2.25,2005,rmse,19.19
40.0,2.25,2005,max,44.05
40.0,2.25,2005,min,0.7
40.0,2.25,2005,count,145.0
40.0,2.25,2005,std,10.02
40.0,2.25,2055,mean,16.3
40.0,2.25,2055,median,14.53
40.0,2.25,2055,rmse,19.03
40.0,2.25,2055,max,43.36
40.0,2.25,2055,min,0.7
40.0,2.25,2055,count,141.0
40.0,2.25,2055,std,9.83
40.0,2.5,1002,mean,21.22
40.0,2.5,1002,median,21.08
40.0,2.5,1002,rmse,24.41
40.0,2.5,1002,max,42.95
40.0,2.5,1002,min,0.54
40.0,2.5,1002,count,141.0
40.0,2.5,1002,std,12.06
40.0,2.5,104D,mean,18.21
40.0,2.5,104D,median,17.19
40.0,2.5,104D,rmse,21.43
40.0,2.5,104D,max,42.35
40.0,2.5,104D,min,0.42
40.0,2.5,104D,count,136.0
40.0,2.5,104D,std,11.31
40.0,2.5,10CE,mean,17.51
40.0,2.5,10CE,median,15.48
40.0,2.5,10CE,rmse,20.76
40.0,2.5,10CE,max,43.32
40.0,2.5,10CE,min,0.53
40.0,2.5,10CE,count,146.0
40.0,2.5,10CE,std,11.16
40.0,2.5,1210,mean,15.42
40.0,2.5,1210,median,13.75
40.0,2.5,1210,rmse,18.11
40.0,2.5,1210,max,42.84
40.0,2.5,1210,min,0.54
40.0,2.5,1210,count,143.0
40.0,2.5,1210,std,9.51
40.0,2.5,1211,mean,19.8
40.0,2.5,1211,median,19.47
40.0,2.5,1211,rmse,22.96
40.0,2.5,1211,max,42.57
40.0,2.5,1211,min,0.55
40.0,2.5,1211,count,136.0
40.0,2.5,1211,std,11.63
40.0,2.5,1212,mean,17.17
40.0,2.5,1212,median,15.57
40.0,2.5,1212,rmse,20.33
40.0,2.5,1212,max,42.5
40.0,2.5,1212,min,0.54
40.0,2.5,1212,count,141.0
40.0,2.5,1212,std,10.89
40.0,2.5,121D,mean,16.9
40.0,2.5,121D,median,14.98
40.0,2.5,121D,rmse,20.09
40.0,2.5,121D,max,42.82
40.0,2.5,121D,min,0.55
40.0,2.5,121D,count,147.0
40.0,2.5,121D,std,10.86
40.0,2.5,1F61,mean,20.02
40.0,2.5,1F61,median,19.47
40.0,2.5,1F61,rmse,23.45
40.0,2.5,1F61,max,43.41
40.0,2.5,1F61,min,0.55
40.0,2.5,1F61,count,144.0
40.0,2.5,1F61,std,12.21
40.0,2.5,2005,mean,15.68
40.0,2.5,2005,median,13.77
40.0,2.5,2005,rmse,18.47
40.0,2.5,2005,max,44.05
40.0,2.5,2005,min,0.7
40.0,2.5,2005,count,145.0
40.0,2.5,2005,std,9.77
40.0,2.5,2055,mean,15.62
40.0,2.5,2055,median,14.39
40.0,2.5,2055,rmse,18.3
40.0,2.5,2055,max,43.36
40.0,2.5,2055,min,0.7
40.0,2.5,2055,count,141.0
40.0,2.5,2055,std,9.53
40.0,2.75,1002,mean,20.06
40.0,2.75,1002,median,19.54
40.0,2.75,1002,rmse,23.45
40.0,2.75,1002,max,42.77
40.0,2.75,1002,min,0.52
40.0,2.75,1002,count,141.0
40.0,2.75,1002,std,12.16
40.0,2.75,104D,mean,17.44
40.0,2.75,104D,median,16.13
40.0,2.75,104D,rmse,20.75
40.0,2.75,104D,max,42.35
40.0,2.75,104D,min,0.39
40.0,2.75,104D,count,136.0
40.0,2.75,104D,std,11.24
40.0,2.75,10CE,mean,15.94
40.0,2.75,10CE,median,13.4
40.0,2.75,10CE,rmse,19.03
40.0,2.75,10CE,max,43.32
40.0,2.75,10CE,min,0.52
40.0,2.75,10CE,count,146.0
40.0,2.75,10CE,std,10.39
40.0,2.75,1210,mean,15.17
40.0,2.75,1210,median,13.31
40.0,2.75,1210,rmse,17.93
40.0,2.75,1210,max,42.85
40.0,2.75,1210,min,0.53
40.0,2.75,1210,count,143.0
40.0,2.75,1210,std,9.55
40.0,2.75,1211,mean,18.55
40.0,2.75,1211,median,17.8
40.0,2.75,1211,rmse,21.85
40.0,2.75,1211,max,42.4
40.0,2.75,1211,min,0.54
40.0,2.75,1211,count,136.0
40.0,2.75,1211,std,11.54
40.0,2.75,1212,mean,15.86
40.0,2.75,1212,median,13.76
40.0,2.75,1212,rmse,18.82
