rho_0,alpha,mean_pw_distance
62.5,5.5,4.758829798792514
62.5,5.75,4.657509747132647
62.5,3.25,4.599757630111158
62.5,6.0,4.546066990839186
62.5,3.0,4.35312284369899
62.5,2.75,4.102072014622385
62.5,2.5,3.957668314780398
62.5,1.25,3.9378372322219417
62.5,1.75,3.937818696072359
62.5,2.0,3.937814300370527
62.5,1.0,3.937804766134944
62.5,2.25,3.937773496695184
62.5,1.5,3.9376871928765174
65.0,4.0,4.9930936556781065
65.0,4.25,4.984939357250353
65.0,3.75,4.96945912542346
65.0,4.5,4.950979466006981
65.0,3.5,4.905930843033726
65.0,4.75,4.893033631333207
65.0,5.0,4.810804284693351
65.0,3.25,4.778790828649918
65.0,5.25,4.710426343737793
65.0,5.5,4.595363909288779
65.0,3.0,4.5674425687619875
65.0,5.75,4.472864295039162
65.0,6.0,4.342689173097538
65.0,2.75,4.296851176511294
65.0,2.5,4.044713455745125
65.0,2.25,3.9420989258216883
65.0,1.25,3.9378372322219404
65.0,1.75,3.937818696072356
65.0,2.0,3.937814300370527
65.0,1.0,3.93780476613494
65.0,1.5,3.9376871928765174
67.5,3.75,4.993666302619928
67.5,4.0,4.979325240425557
67.5,3.5,4.972440266989508
67.5,4.25,4.935782923981669
67.5,3.25,4.905930581355422
67.5,4.5,4.864081648626208
67.5,4.75,4.76601675132389
67.5,3.0,4.765551496871194
67.5,5.0,4.649520319843893
67.5,2.75,4.528874578549032
67.5,5.25,4.518580716730211
67.5,5.5,4.384918281838262
67.5,5.75,4.23262996664069
67.5,2.5,4.232416825840637
67.5,6.0,4.07069005351149
67.5,2.25,3.9943473426121474
67.5,2.0,3.937843237270206
67.5,1.25,3.9378372322219417
67.5,1.75,3.937818696072356
67.5,1.0,3.937804766134941
67.5,1.5,3.937687192876518
70.0,3.5,4.993317257424832
70.0,3.25,4.975556441454338
70.0,3.75,4.971029448864567
70.0,4.0,4.915083260624623
70.0,3.0,4.905951973633464
70.0,4.25,4.826162657055372
70.0,2.75,4.749349533156512
70.0,4.5,4.710393516003293
70.0,4.75,4.575005854804961
70.0,2.5,4.481549027734929
70.0,5.0,4.432530058817274
70.0,5.25,4.269772361173105
70.0,2.25,4.159902811371687
70.0,5.5,4.10079531818874
70.0,2.0,3.9577108513579846
70.0,1.25,3.9378372322219444
70.0,1.75,3.937818696072357
70.0,1.0,3.937804766134944
70.0,1.5,3.937687192876516
70.0,5.75,3.908886796912959
70.0,6.0,3.7278529818316075
72.5,3.25,4.991905737888953
72.5,3.0,4.978957813270991
72.5,3.5,4.958787531558702
72.5,2.75,4.905937223319087
72.5,3.75,4.886565417210868
72.5,4.0,4.775743845049413
72.5,2.5,4.7292365675399415
72.5,4.25,4.638301320074784
72.5,4.5,4.483484704322416
72.5,2.25,4.42404485328258
72.5,4.75,4.316836845743757
72.5,5.0,4.13461987414275
72.5,2.0,4.08260243367504
72.5,1.75,3.940054872934227
72.5,1.25,3.9378372322219444
72.5,1.0,3.937804766134943
72.5,1.5,3.937687192876516
72.5,5.25,3.9266291736911048
72.5,5.5,3.728047176320954
72.5,5.75,3.536808841146651
72.5,6.0,3.3570539271039475
75.0,3.0,4.988720921340398
75.0,2.75,4.98245623884767
75.0,3.25,4.941367945795594
75.0,2.5,4.9059454123545425
75.0,3.5,4.84647173241886
75.0,3.75,4.710336384508381
75.0,2.25,4.704240415782022
75.0,4.0,4.546105000454678
75.0,4.25,4.370251536225683
75.0,2.0,4.353124652821177
75.0,4.5,4.172779857784813
75.0,1.75,4.009812638664116
75.0,4.75,3.947019173727297
75.0,1.25,3.9378372322219426
75.0,1.0,3.937804766134945
75.0,1.5,3.9376871928765165
75.0,5.0,3.7279029627946203
75.0,5.25,3.517389949465867
75.0,5.5,3.3175967584651356
75.0,5.75,3.1388404355333743
75.0,6.0,
77.5,2.5,4.98644159758787
77.5,2.75,4.982442283422265
77.5,3.0,4.915099136545995
77.5,2.25,4.905899302382415
77.5,3.25,4.789431442694354
77.5,2.0,4.671710869156162
77.5,3.5,4.62165210902549
77.5,3.75,4.432558301947527
77.5,1.75,4.265719239938974
77.5,4.0,4.216377994273105
77.5,4.25,3.9718725946676314
77.5,1.5,3.9575894321840956
77.5,1.25,3.9378372322219417
77.5,1.0,3.9378047661349442
77.5,4.5,3.7280162013316605
77.5,4.75,3.495026903102327
77.5,5.0,3.269815766132909
77.5,5.25,
77.5,5.5,
77.5,5.75,
77.5,6.0,
80.0,2.25,4.990191877891128
80.0,2.5,4.970995351040323
80.0,2.0,4.9059534972336145
80.0,2.75,4.874735276020289
80.0,3.0,4.710432016523086
80.0,1.75,4.627471527118133
80.0,3.25,4.501901532470857
80.0,3.5,4.269551588057829
80.0,1.5,4.159844477215606
80.0,3.75,4.003435700807361
80.0,1.25,3.938302382349467
80.0,1.0,3.9378047661349442
80.0,4.0,3.7279429949095277
80.0,4.25,3.468734677526005
80.0,4.5,3.2168882812193464
80.0,4.75,
80.0,5.0,
80.0,5.25,
80.0,5.5,
80.0,5.75,
80.0,6.0,
