rho_0,alpha,cv_pw_distance
55.0,5.25,33.43480507695101
55.0,3.75,34.40514947120845
55.0,5.5,35.76795018643906
55.0,5.75,36.70603439615199
55.0,3.5,37.43718880386888
55.0,6.0,38.83680338620522
55.0,3.25,40.25246587441269
55.0,3.0,41.93893238947533
55.0,1.25,42.192520785979134
55.0,1.75,42.19372104673039
55.0,2.0,42.193810108800875
55.0,1.0,42.19385966286971
55.0,2.5,42.194655681380695
55.0,2.75,42.19467349429035
55.0,2.25,42.19491196278772
55.0,1.5,42.196112234215
57.5,4.25,29.972186150220363
57.5,4.0,30.420098104964914
57.5,4.5,30.543271644289437
57.5,4.75,31.83771885495716
57.5,3.75,32.13423543218784
57.5,5.0,33.81042051437447
57.5,3.5,34.925028944590544
57.5,5.25,35.795732581703135
57.5,5.5,36.946321880297496
57.5,3.25,38.14717236633492
57.5,5.75,40.045288776883964
57.5,6.0,40.42029168056845
57.5,3.0,40.908263065997566
57.5,2.75,42.140112690327754
57.5,1.25,42.192520785979134
57.5,1.75,42.193721046730396
57.5,2.0,42.193810108800875
57.5,1.0,42.19385966286971
57.5,2.5,42.194655681380695
57.5,2.25,42.19491196278772
57.5,1.5,42.196112234215
60.0,4.0,29.971167914258885
60.0,3.75,30.489216981940277
60.0,4.25,30.604663333561415
60.0,4.5,32.04711167708965
60.0,3.5,32.43909175806075
60.0,4.75,34.24846192048287
60.0,3.25,35.5207052818283
60.0,5.0,36.20673749517349
60.0,5.25,37.95362041674314
60.0,3.0,38.9204016143706
60.0,5.5,39.86567430418164
60.0,5.75,41.35730197265771
60.0,2.75,41.492445259445184
60.0,6.0,41.798007935039564
60.0,1.25,42.192520785979134
60.0,1.75,42.193721046730396
60.0,2.0,42.193810108800875
60.0,1.0,42.19385966286971
60.0,2.25,42.19491196278772
60.0,2.5,42.19525988529009
60.0,1.5,42.196112234215
62.5,3.75,29.97113314725064
62.5,3.5,30.5723609629438
62.5,4.0,30.675488813354168
62.5,4.25,32.29717044127475
62.5,3.25,32.801099436870736
62.5,4.5,34.77255924410038
62.5,3.0,36.20950251248407
62.5,4.75,36.44226741683105
62.5,5.0,38.83708444116529
62.5,2.75,39.74614812946518
62.5,5.25,40.02316082445005
62.5,5.5,41.287064159106215
62.5,5.75,41.36795893069146
62.5,6.0,41.84607863920682
62.5,2.5,41.93949966600067
62.5,1.25,42.192520785979134
62.5,1.75,42.19372104673039
62.5,2.0,42.193810108800875
62.5,1.0,42.19385966286971
62.5,2.25,42.19491196278772
62.5,1.5,42.19611223421501
65.0,3.5,29.971563038163136
65.0,3.25,30.677587670631222
65.0,3.75,30.76033862556257
65.0,4.0,32.595550832303836
65.0,3.0,33.23003771242438
65.0,4.25,35.40302311228484
65.0,4.5,36.8122477257117
65.0,2.75,36.99770321625312
65.0,4.75,39.96398473577412
65.0,2.5,40.58791451826903
65.0,5.75,40.75202215011935
65.0,5.0,41.150416949170335
65.0,5.5,41.63221313606254
65.0,5.25,41.7955743342265
65.0,2.25,42.163325361219414
65.0,1.25,42.192520785979134
65.0,1.75,42.19372104673039
