WAP96,WAP100,WAP101,WAP102,WAP104,WAP105,WAP106,WAP107,WAP108,WAP112,WAP114,WAP115,WAP116,WAP117,WAP118,LABEL,X,Y,DEVICE
-85,100,100,100,100,-93,100,100,100,100,100,100,100,100,-93,1635,3.5,14.8,1002
-83,100,100,100,100,-93,100,100,100,100,100,100,100,100,-90,1635,3.5,14.8,1002
-84,100,100,100,100,-95,100,100,100,100,100,100,100,100,-93,1635,3.5,14.8,1002
-87,100,100,100,100,-93,100,100,100,100,100,100,100,100,-93,1635,3.5,14.8,1002
-83,100,100,100,100,-94,100,100,100,100,100,100,100,100,-93,1635,3.5,14.8,1002
-81,100,100,-90,100,-97,100,100,100,100,100,100,100,100,-92,1635,3.5,14.8,10CE
-87,100,100,-91,100,100,100,100,100,100,100,100,100,100,-97,1635,3.5,14.8,10CE
-85,100,100,100,100,-92,100,100,100,100,100,100,100,100,-97,1635,3.5,14.8,10CE
-83,100,100,-91,100,-97,100,100,100,100,100,100,100,100,-94,1635,3.5,14.8,10CE
-82,100,100,-92,100,100,100,100,100,100,100,100,100,100,-93,1635,3.5,14.8,10CE
-85,100,100,100,100,-94,100,100,100,100,100,100,100,100,-96,1635,3.5,14.8,10CE
-86,100,100,-89,100,-93,100,100,100,100,100,-98,100,100,-89,1635,3.5,14.8,1210
-80,100,100,-91,100,-93,100,100,100,100,100,100,100,100,-95,1635,3.5,14.8,1210
-81,100,100,100,100,-96,100,100,100,100,100,-95,100,100,-95,1635,3.5,14.8,1210
-83,100,100,-94,100,100,100,100,100,100,100,100,100,100,-96,1635,3.5,14.8,1210
-81,100,100,-85,100,-91,100,100,100,100,100,-97,100,100,-87,1635,3.5,14.8,1210
-83,100,100,-91,100,-92,100,100,100,100,100,100,100,100,-91,1635,3.5,14.8,1210
-82,100,100,100,100,-92,100,100,100,100,100,100,100,100,-93,1635,3.5,14.8,1210
-82,100,100,100,100,-94,100,100,100,100,100,100,100,100,-91,1635,3.5,14.8,1210
-77,100,100,-87,100,-94,100,100,100,100,100,100,100,100,-86,1635,3.5,14.8,1211
-80,100,100,-87,100,100,100,100,100,100,100,-94,100,100,-89,1635,3.5,14.8,1211
-79,100,100,-93,100,100,100,100,100,100,100,100,100,100,-91,1635,3.5,14.8,1211
-84,100,100,100,100,-98,100,100,100,100,100,-91,100,100,-77,1635,3.5,14.8,1211
-81,100,100,-89,100,-93,100,100,100,100,100,-93,100,100,-87,1635,3.5,14.8,1211
-89,100,100,100,100,-91,100,100,100,100,100,100,100,100,-89,1635,3.5,14.8,1211
-78,100,100,-87,100,-98,100,100,100,100,100,100,100,100,-87,1635,3.5,14.8,1211
-80,100,100,-92,100,100,100,100,100,100,100,-92,100,100,-89,1635,3.5,14.8,1211
-85,100,100,100,100,-93,100,100,100,100,100,-96,100,100,-91,1635,3.5,14.8,1211
-85,100,100,-91,100,-91,100,100,100,100,100,-94,100,100,-85,1635,3.5,14.8,1211
-83,100,100,100,100,-98,100,100,100,100,100,100,100,100,-94,1635,3.5,14.8,1212
-85,100,100,-94,100,-96,100,100,100,100,100,100,100,100,-94,1635,3.5,14.8,1212
-88,100,100,-97,100,100,100,100,100,100,100,100,100,100,-94,1635,3.5,14.8,1212
-91,100,100,-93,100,100,100,100,100,100,100,-98,100,100,100,1635,3.5,14.8,1212
-77,100,100,-94,100,-87,100,100,100,100,100,-92,100,100,-86,1635,3.5,14.8,1210
-79,100,100,100,100,-97,100,100,100,100,100,100,100,100,-88,1635,3.5,14.8,1210
-81,100,100,-93,100,-95,100,100,100,100,100,-96,100,100,-93,1635,3.5,14.8,1210
-81,100,100,-93,100,-93,100,100,100,100,100,-95,100,100,-94,1635,3.5,14.8,1210
-83,100,100,-87,100,100,100,100,100,100,100,-97,100,100,-93,1635,3.5,14.8,1210
-85,100,100,-93,100,-94,100,100,100,100,100,100,100,100,100,1635,3.5,14.8,1210
-77,100,100,-93,100,-94,100,100,100,100,100,100,100,100,-87,1635,3.5,14.8,1210
-83,100,100,-88,100,-91,100,100,100,100,100,100,100,100,-97,1635,3.5,14.8,1210
-77,100,100,100,100,-91,100,100,100,100,100,-96,100,100,-93,1635,3.5,14.8,1210
-76,100,100,-94,100,-91,100,100,100,100,100,100,100,100,100,1635,3.5,14.8,1210
-78,100,100,-93,100,100,100,100,100,100,100,100,100,100,-88,1635,3.5,14.8,1210
-82,100,100,-93,100,-91,100,100,100,100,100,100,100,100,-86,1635,3.5,14.8,121D
-87,100,100,-90,100,100,100,100,100,100,100,-97,100,100,-88,1635,3.5,14.8,121D
-83,100,100,100,100,-96,100,100,100,100,100,-97,100,100,-89,1635,3.5,14.8,121D
-88,100,100,100,100,100,100,100,100,100,100,-97,100,100,-93,1635,3.5,14.8,121D
-81,100,100,-93,100,100,100,100,100,100,100,-92,100,100,-88,1635,3.5,14.8,121D
-83,100,100,-92,100,-91,100,100,100,100,100,100,100,100,-91,1635,3.5,14.8,121D
-81,100,100,-92,100,-97,100,100,100,100,100,100,100,100,-87,1635,3.5,14.8,121D
-81,100,100,100,100,100,100,100,100,100,100,-92,100,100,-87,1635,3.5,14.8,121D
-87,100,100,100,100,-94,100,100,100,100,100,-96,100,100,-89,1635,3.5,14.8,121D
-82,100,100,100,100,-94,100,-96,100,100,100,-96,100,100,-86,1635,3.5,14.8,1F61
-85,100,100,-93,100,100,100,100,100,100,100,-95,100,100,-88,1635,3.5,14.8,1F61
-81,100,100,-92,100,100,100,-95,100,100,100,100,100,100,-85,1635,3.5,14.8,1F61
-88,100,100,-93,100,-96,100,100,100,100,100,-94,100,100,-89,1635,3.5,14.8,1F61
-87,100,100,100,100,100,100,100,100,100,100,-94,100,100,-85,1635,3.5,14.8,1F61
-89,100,100,-91,100,100,100,100,100,100,100,-91,100,100,-82,1635,3.5,14.8,2055
-88,100,100,-86,100,-89,100,100,100,100,100,-94,100,100,-87,1635,3.5,14.8,2055
-88,100,100,100,100,100,100,100,100,100,100,-94,100,100,-85,1635,3.5,14.8,2055
-81,100,100,-91,100,100,100,100,100,100,100,-93,100,100,-89,1635,3.5,14.8,2055
-77,100,100,-91,100,-93,100,100,100,100,100,100,100,100,-87,1635,3.5,14.8,2055
-82,100,100,-91,100,-93,100,100,100,100,100,-91,100,100,-85,1635,3.5,14.8,2055
-91,100,100,-92,100,-94,100,100,100,100,100,100,100,100,-88,1635,3.5,14.8,2055
-85,100,100,-88,100,100,100,100,100,100,100,-95,100,100,-83,1635,3.5,14.8,2055
-84,100,100,-87,100,100,100,100,100,100,100,-92,100,100,-88,1635,3.5,14.8,2055
-89,100,100,-94,100,100,100,100,100,100,100,-92,100,100,-94,1635,3.5,14.8,2055
-80,100,100,-83,100,-95,100,100,100,100,100,-91,100,100,-93,1635,3.5,14.8,2055
-85,100,100,100,100,100,100,100,100,100,100,-94,100,100,-90,1635,3.5,14.8,2005
-85,100,100,-94,100,-93,100,100,100,100,100,-94,-94,100,-82,1635,3.5,14.8,2005
-83,100,100,-97,100,-93,100,100,100,100,100,100,100,100,-87,1635,3.5,14.8,2005
-81,100,100,-94,100,100,100,-99,100,100,100,100,100,100,-86,1635,3.5,14.8,2005
-83,100,100,-91,100,100,100,-96,100,100,100,100,100,100,-86,1635,3.5,14.8,2005
-81,100,100,100,100,-93,100,100,100,100,100,100,100,100,-91,1635,3.5,14.8,2005
-87,100,100,100,100,-93,100,100,100,100,100,-93,100,100,-86,1635,3.5,14.8,2005
-86,100,100,100,100,-95,100,100,100,100,100,100,100,100,-89,1635,3.5,14.8,2005
-83,100,100,100,100,-94,100,100,100,100,100,100,100,100,-91,1635,3.5,14.8,2005
-85,100,100,-94,100,-93,100,100,100,100,100,100,100,100,-91,1635,3.5,14.8,2005
-65,100,100,-85,100,100,100,100,100,100,100,-94,100,100,-94,1633,3.5,12.5,104D
-75,100,100,-83,100,-89,100,100,100,100,100,-91,100,100,-93,1633,3.5,12.5,104D
-75,100,100,-83,100,100,100,100,100,100,100,-88,100,100,-88,1633,3.5,12.5,104D
-75,100,100,-81,100,100,100,100,100,100,100,100,100,100,-92,1633,3.5,12.5,104D
-77,100,100,-87,100,100,100,100,100,100,100,-94,100,100,-95,1633,3.5,12.5,104D
-71,100,100,-90,100,100,100,100,100,100,100,-93,100,100,-91,1633,3.5,12.5,104D
-77,100,100,-87,100,100,100,100,100,100,100,-93,100,100,-87,1633,3.5,12.5,104D
-78,100,100,-82,100,-95,100,100,100,100,100,-95,100,100,-90,1633,3.5,12.5,104D
-77,100,100,-82,100,-93,100,100,100,100,100,-95,100,100,-96,1633,3.5,12.5,104D
-77,100,100,-90,100,100,100,100,100,100,100,-93,100,100,100,1633,3.5,12.5,104D
-75,100,100,-94,100,100,100,100,100,100,100,100,100,100,-94,1633,3.5,12.5,1002
-76,100,100,-93,100,100,100,100,100,100,100,100,100,100,-93,1633,3.5,12.5,1002
-75,100,100,-94,100,100,100,100,100,100,100,100,100,100,-93,1633,3.5,12.5,1002
-77,100,100,100,100,-95,100,100,100,100,100,100,100,100,-94,1633,3.5,12.5,1002
-75,100,100,-92,100,100,100,100,100,100,100,100,100,100,-95,1633,3.5,12.5,1002
-85,100,100,-93,100,100,100,100,100,100,100,-96,100,100,100,1633,3.5,12.5,10CE
-78,100,100,-91,100,100,100,100,100,100,100,100,100,100,-97,1633,3.5,12.5,10CE
-75,100,100,100,100,100,100,100,100,100,100,-95,100,100,-95,1633,3.5,12.5,10CE
-79,100,100,-88,100,100,100,100,100,100,100,100,100,100,-97,1633,3.5,12.5,10CE
-70,100,100,-83,100,-93,100,100,100,100,100,-96,100,100,-91,1633,3.5,12.5,1210
-71,100,100,-81,100,-93,100,100,100,100,100,-97,100,100,-91,1633,3.5,12.5,1210
-73,100,100,-89,100,-94,100,100,100,100,100,-98,100,100,-94,1633,3.5,12.5,1210
-77,100,100,-93,100,-94,100,100,100,100,100,100,100,100,100,1633,3.5,12.5,1210
-90,100,100,-89,100,100,100,100,100,100,100,-96,100,100,100,1633,3.5,12.5,1210
-78,100,100,-81,100,-96,100,100,100,100,100,-91,100,100,-87,1633,3.5,12.5,1210
